Year,ages,female,male
2056,25-29,0.315255321,0.3268907925
2056,30-34,0.309126424,0.3213118835
2056,35-39,0.315255935,0.32904763
2056,40-44,0.31998999,0.334634786
2056,45-49,0.3059526385,0.3187708405
2056,50-54,0.2856436155,0.2946587075
2056,55-59,0.270732695,0.275499746
2056,60-64,0.2618509085,0.259050561
2056,65-69,0.258194422,0.2462195485
2056,70-74,0.222697356,0.202416785
2056,75-79,0.1781134305,0.1526460065
2056,80-84,0.141467021,0.1118210365
2056,85-89,0.098294746,0.069410972
2056,90-94,0.0507466085,0.0300527485
2056,95-99,0.0155857675,0.007165307
2056,100+,0.0033728415,0.0010729955
2057,0-4,0.3200659195,0.3326603975
2057,5-9,0.324866919,0.337221691
2057,10-14,0.3285350325,0.340985158
2057,15-19,0.3273127445,0.339506163
2057,20-24,0.3223602335,0.3338599595
2057,25-29,0.316269385,0.327697951
2057,30-34,0.3100638845,0.3219149335
2057,35-39,0.311600685,0.3245910505
2057,40-44,0.3206338765,0.334998423
2057,45-49,0.3091574045,0.322085111
2057,50-54,0.2882924425,0.2974528815
2057,55-59,0.2722430975,0.277184729
2057,60-64,0.261091141,0.2589323065
2057,65-69,0.25788837,0.246447765
2057,70-74,0.2268823955,0.206686906
2057,75-79,0.1827459465,0.157095148
2057,80-84,0.1413754455,0.112075752
2057,85-89,0.1005187535,0.0713253085
2057,90-94,0.052270403,0.0310981845
2057,95-99,0.0162261,0.007543224
2057,100+,0.0035420975,0.0011348305
2058,0-4,0.3189355105,0.3314603125
2058,5-9,0.3235576,0.3358194945
2058,10-14,0.3280448775,0.340430025
2058,15-19,0.327717529,0.339862512
2058,20-24,0.323283302,0.3347019205
2058,25-29,0.3172934915,0.3285473965
2058,30-34,0.3110364835,0.322574322
2058,35-39,0.308853958,0.321139694
2058,40-44,0.320122338,0.334078435
2058,45-49,0.311901156,0.3248455715
2058,50-54,0.291545139,0.300923442
2058,55-59,0.2739910215,0.279010453
2058,60-64,0.2608401075,0.259274118
2058,65-69,0.256665477,0.2457974725
2058,70-74,0.2310436605,0.2110380135
2058,75-79,0.187452162,0.1615573955
2058,80-84,0.14150418,0.112522153
2058,85-89,0.102112849,0.0727803065
2058,90-94,0.053493753,0.0320484055
2058,95-99,0.017417316,0.0081813045
2058,100+,0.00370814,0.0011973115
2059,0-4,0.317869937,0.3303332575
2059,5-9,0.3222203205,0.3343896005
2059,10-14,0.3273328265,0.3396472665
2059,15-19,0.3279721985,0.3400659025
2059,20-24,0.324153064,0.335503148
2059,25-29,0.3183054335,0.3294108225
2059,30-34,0.3120047955,0.32325477
2059,35-39,0.3072780985,0.3189788415
2059,40-44,0.318625777,0.33205649
2059,45-49,0.3139653055,0.326811416
2059,50-54,0.2950539485,0.3046636035
2059,55-59,0.276000447,0.281067093
2059,60-64,0.260972935,0.2598962755
2059,65-69,0.254921754,0.2447014915
2059,70-74,0.235227618,0.215493914
2059,75-79,0.1914575205,0.165362797
2059,80-84,0.142482434,0.1136973755
2059,85-89,0.103068297,0.0737722175
2059,90-94,0.054922606,0.033165752
2059,95-99,0.018681571,0.0088288615
2059,100+,0.0038361455,0.001251932
2060,0-4,0.3168721785,0.329281028
2060,5-9,0.320910164,0.332991791
2060,10-14,0.326421165,0.3386559945
2060,15-19,0.3280777295,0.340120012
2060,20-24,0.3249252845,0.336214313
2060,25-29,0.319306577,0.330287535
2060,30-34,0.312996585,0.32398499
2060,35-39,0.306818924,0.318039302
2060,40-44,0.316211125,0.329019692
2060,45-49,0.315568735,0.328233171
2060,50-54,0.2984806495,0.3082847015
2060,55-59,0.2779342885,0.283025502
2060,60-64,0.261730631,0.261066769
2060,65-69,0.2524495075,0.242906546
2060,70-74,0.239098511,0.2197705645
2060,75-79,0.195291408,0.169046384
2060,80-84,0.144738483,0.1159509285
2060,85-89,0.103439874,0.0743177255
2060,90-94,0.05653128,0.0343917605
2060,95-99,0.0197279265,0.0093496295
2060,100+,0.00395801,0.0013062305
2061,0-4,0.315994376,0.3283582165
2061,5-9,0.3196764215,0.331677047
2061,10-14,0.3253196705,0.3374652935
2061,15-19,0.3279961455,0.339986107
2061,20-24,0.3256227195,0.3368576775
2061,25-29,0.320289216,0.3311669805
2061,30-34,0.314000432,0.3247540785
2061,35-39,0.307392417,0.3182413425
2061,40-44,0.31288553,0.324965953
2061,45-49,0.3168530535,0.3292976835
2061,50-54,0.301717159,0.311659619
2061,55-59,0.279935073,0.285073034
2061,60-64,0.2630335195,0.262686598
2061,65-69,0.2505562945,0.2416885525
2061,70-74,0.241208657,0.2223922565
2061,75-79,0.1992407655,0.1728932535
2061,80-84,0.147974277,0.119017229
2061,85-89,0.10344523,0.0745921025
2061,90-94,0.058200164,0.035640187
2061,95-99,0.0205898385,0.009775775
2061,100+,0.0040895915,0.0013635265
2062,0-4,0.3152334495,0.327562944
2062,5-9,0.3185112675,0.3304362055
2062,10-14,0.3240923295,0.33614466
2062,15-19,0.32772064,0.339651954
2062,20-24,0.3262094745,0.337398038
2062,25-29,0.3212404195,0.3320284555
2062,30-34,0.3150253025,0.325574535
2062,35-39,0.3083406845,0.318860505
2062,40-44,0.3092532345,0.3205503245
2062,45-49,0.3175147965,0.3296958965
2062,50-54,0.304914843,0.3149600855
2062,55-59,0.2825776975,0.2878548385
2062,60-64,0.264540458,0.264370487
2062,65-69,0.249867134,0.241673367
2062,70-74,0.2409667905,0.222711191
2062,75-79,0.2031941875,0.176846413
2062,80-84,0.1520753145,0.1227998875
2062,85-89,0.1034978295,0.074911731
2062,90-94,0.059686559,0.036744228
2062,95-99,0.021216108,0.01010765
2062,100+,0.004303898,0.0014418645
2063,0-4,0.314561856,0.3268645725
2063,5-9,0.317412704,0.3292682925
2063,10-14,0.322798104,0.3347563115
2063,15-19,0.327242302,0.339109042
2063,20-24,0.326628073,0.3377705455
2063,25-29,0.322176284,0.3328865875
2063,30-34,0.316060607,0.32643764
2063,35-39,0.3093238795,0.31953543
2063,40-44,0.306527237,0.317135505
2063,45-49,0.3170249665,0.328818471
2063,50-54,0.3076583785,0.3177198785
2063,55-59,0.2858174185,0.2912992435
2063,60-64,0.2662772885,0.2661861015
2063,65-69,0.249669819,0.242090381
2063,70-74,0.239845923,0.222210423
2063,75-79,0.2071339715,0.1808824545
2063,80-84,0.1561957165,0.1265505275
2063,85-89,0.103733925,0.0753896085
2063,90-94,0.060786433,0.0376109645
2063,95-99,0.0218546045,0.0104907185
2063,100+,0.004651444,0.001555482
2064,0-4,0.3139983605,0.326280017
2064,5-9,0.3163788135,0.32817398
2064,10-14,0.32147587,0.3333403835
2064,15-19,0.326542196,0.338338807
2064,20-24,0.3268966725,0.3379904845
2064,25-29,0.323059215,0.33370468
2064,30-34,0.31708422,0.3273153155
2064,35-39,0.310302902,0.320231239
2064,40-44,0.304969443,0.315006377
2064,45-49,0.315551609,0.3268424185
2064,50-54,0.30973014,0.319698856
2064,55-59,0.2893099575,0.2950074565
2064,60-64,0.268272458,0.2682272915
2064,65-69,0.249841192,0.2427676255
2064,70-74,0.2382311395,0.221296662
2064,75-79,0.211094023,0.1850094935
2064,80-84,0.159691073,0.1297482455
2064,85-89,0.1046539395,0.0764180905
2064,90-94,0.061526057,0.038261911
2064,95-99,0.02262666,0.010957458
2064,100+,0.004993476,0.0016675665
2065,0-4,0.313477433,0.3257416675
2065,5-9,0.3154120845,0.32715434
2065,10-14,0.320180424,0.3319564725
2065,15-19,0.3256424155,0.337360229
2065,20-24,0.3270162145,0.3380615725
2065,25-29,0.323845,0.334433538
2065,30-34,0.3180974735,0.328206938
2065,35-39,0.311305475,0.320976647
2065,40-44,0.3045254075,0.3140933525
2065,45-49,0.313162059,0.323855623
2065,50-54,0.311346741,0.321142606
2065,55-59,0.292720822,0.2985986935
2065,60-64,0.2701965225,0.2701784495
2065,65-69,0.250621215,0.2439686785
2065,70-74,0.235922757,0.219734278
2065,75-79,0.214780386,0.188995363
2065,80-84,0.16307439,0.1328925505
2065,85-89,0.106568205,0.078221612
2065,90-94,0.061892095,0.0386734475
2065,95-99,0.0234539785,0.0114504495
2065,100+,0.0052675165,0.001759777
2066,0-4,0.312902638,0.3251481875
2066,5-9,0.314564265,0.3262631365
2066,10-14,0.318960891,0.330655332
2066,15-19,0.324552719,0.336182437
2066,20-24,0.3269488895,0.337945171
2066,25-29,0.3245560365,0.335094996
2066,30-34,0.319092847,0.3291021965
2066,35-39,0.312320376,0.321761198
2066,40-44,0.305111478,0.3143171485
2066,45-49,0.309863865,0.3198565
2066,50-54,0.31264896,0.3222373
2066,55-59,0.295943246,0.301947473
2066,60-64,0.272191004,0.2722243385
2066,65-69,0.2519282365,0.2455928405
2066,70-74,0.2341691765,0.218710762
2066,75-79,0.2168210905,0.191483754
2066,80-84,0.1665974055,0.136220142
2066,85-89,0.1092282685,0.080594024
2066,90-94,0.0620312235,0.0389498765
2066,95-99,0.0242870615,0.011939931
2066,100+,0.005489621,0.0018369735
2067,0-4,0.3123139775,0.324538576
2067,5-9,0.3138322285,0.3254986505
2067,10-14,0.3178094925,0.3294278115
2067,15-19,0.3233372635,0.3348749305
2067,20-24,0.3266876535,0.337628741
2067,25-29,0.3251566845,0.335654054
2067,30-34,0.320057372,0.329980293
2067,35-39,0.313356721,0.3225974595
2067,40-44,0.3060713465,0.314955947
2067,45-49,0.306259442,0.315496042
2067,50-54,0.313335286,0.3226789585
2067,55-59,0.2991309625,0.3052288225
2067,60-64,0.2748207245,0.274987888
2067,65-69,0.2534232495,0.247263131
2067,70-74,0.233568567,0.218806149
2067,75-79,0.2166556685,0.1918814645
2067,80-84,0.1701694045,0.1396862845
2067,85-89,0.1125426135,0.0834635555
2067,90-94,0.062203086,0.039261425
2067,95-99,0.025001213,0.0123543175
2067,100+,0.005679512,0.00190681
2068,0-4,0.3117076995,0.3239098005
2068,5-9,0.313188907,0.324830879
2068,10-14,0.3167244325,0.328273107
2068,15-19,0.3220549545,0.333499802
2068,20-24,0.3262235215,0.337103684
2068,25-29,0.3255896885,0.336045894
2068,30-34,0.3210068055,0.3308554035
2068,35-39,0.31440403,0.3234767155
2068,40-44,0.307066048,0.315649768
2068,45-49,0.3035584605,0.312130261
2068,50-54,0.312875916,0.3218565635
2068,55-59,0.3018740605,0.3079869725
2068,60-64,0.278038501,0.278394048
2068,65-69,0.2551367955,0.249051772
2068,70-74,0.23343579,0.2192970085
2068,75-79,0.2156711985,0.1915404775
2068,80-84,0.1737333755,0.143220448
2068,85-89,0.1158181455,0.0862572125
2068,90-94,0.0625143115,0.0396860855
2068,95-99,0.02556221,0.012698212
2068,100+,0.0059267735,0.001997252
2069,0-4,0.311052117,0.323231043
2069,5-9,0.3126531545,0.3242766375
2069,10-14,0.315703922,0.3271920025
2069,15-19,0.320744495,0.332097058
2069,20-24,0.3255377575,0.3363517005
2069,25-29,0.325872856,0.3362854755
2069,30-34,0.321903746,0.3316910925
2069,35-39,0.3154401725,0.3243710375
2069,40-44,0.3080566855,0.31636414
2069,45-49,0.3020221195,0.31004331
2069,50-54,0.311435194,0.319940934
2069,55-59,0.3039562665,0.3099836485
2069,60-64,0.281504452,0.2820558235
2069,65-69,0.2571033495,0.2510583825
2069,70-74,0.233650368,0.2200242015
2069,75-79,0.214233828,0.1908351645
2069,80-84,0.177301777,0.146813012
2069,85-89,0.118588422,0.0886404025
2069,90-94,0.063300785,0.0404548715
2069,95-99,0.025994519,0.012991875
2069,100+,0.0062141315,0.0021029395
2070,0-4,0.310363835,0.3225190765
2070,5-9,0.3121598755,0.3237684525
2070,10-14,0.314750388,0.3261853335
2070,15-19,0.3194606365,0.3307261005
2070,20-24,0.324652269,0.335391471
2070,25-29,0.3260071165,0.3363764945
2070,30-34,0.3227040235,0.3324381475
2070,35-39,0.3164664895,0.325279696
2070,40-44,0.309070901,0.3171275125
2070,45-49,0.301595584,0.3091648775
2070,50-54,0.309080852,0.3170204625
2070,55-59,0.305591126,0.3114579425
2070,60-64,0.284889153,0.2856028065
2070,65-69,0.259005043,0.2529853175
2070,70-74,0.234449897,0.2212434125
2070,75-79,0.212161912,0.1895602505
2070,80-84,0.180655693,0.150313364
2070,85-89,0.121320931,0.0910387085
2070,90-94,0.0647364305,0.041664583
2070,95-99,0.026260258,0.0132079045
2070,100+,0.0065009905,0.0022113925
2071,0-4,0.309654904,0.3217870925
2071,5-9,0.311613226,0.3232056935
2071,10-14,0.3139152785,0.325306606
2071,15-19,0.3182523795,0.3294374725
2071,20-24,0.3235768505,0.3342321525
2071,25-29,0.3259548345,0.3362804065
2071,30-34,0.323429662,0.333117951
2071,35-39,0.3174755975,0.326192529
2071,40-44,0.310097737,0.317929835
2071,45-49,0.3021955435,0.3094159835
2071,50-54,0.3058213195,0.3130938755
2071,55-59,0.30691804,0.3125943315
2071,60-64,0.288087888,0.2889113785
2071,65-69,0.2609828665,0.2550122385
2071,70-74,0.2357503695,0.222850032
2071,75-79,0.210610218,0.1887712795
2071,80-84,0.182551134,0.15253967
2071,85-89,0.1242153575,0.0936242565
2071,90-94,0.0666391065,0.043179417
2071,95-99,0.026432751,0.01338899
2071,100+,0.0067776585,0.00231839
2072,0-4,0.3088878535,0.32099733
2072,5-9,0.311052281,0.322626277
2072,10-14,0.313195469,0.3245541965
2072,15-19,0.3171118955,0.328222158
2072,20-24,0.322375742,0.332943351
2072,25-29,0.3257086765,0.335984482
2072,30-34,0.324045236,0.3336959005
2072,35-39,0.31845445,0.3270889785
2072,40-44,0.311146385,0.3187840845
2072,45-49,0.3031677615,0.31007896
2072,50-54,0.3022560595,0.308807461
2072,55-59,0.307638,0.31309564
2072,60-64,0.2912574475,0.2921623095
2072,65-69,0.26358639,0.2577331985
2072,70-74,0.2372155115,0.2244807725
2072,75-79,0.210129678,0.1889823325
2072,80-84,0.182480236,0.152987714
2072,85-89,0.127202823,0.096371969
2072,90-94,0.0689439635,0.0449605615
2072,95-99,0.026625912,0.0135959955
2072,100+,0.007012764,0.0024116475
2073,0-4,0.308074203,0.3201595725
2073,5-9,0.3104731355,0.3220275515
2073,10-14,0.312564193,0.323898444
2073,15-19,0.316037546,0.32707961
2073,20-24,0.321107806,0.331587198
2073,25-29,0.3252596135,0.3354803355
2073,30-34,0.32449371,0.334107512
2073,35-39,0.319418473,0.3279830695
2073,40-44,0.312206434,0.319681894
2073,45-49,0.304174432,0.3107962615
2073,50-54,0.2995897805,0.3055075385
2073,55-59,0.307220039,0.31234998
2073,60-64,0.2939948735,0.2949144535
2073,65-69,0.2667639265,0.26107
2073,70-74,0.2388813645,0.2262146885
2073,75-79,0.2100788525,0.189543268
2073,80-84,0.181687253,0.1528223355
2073,85-89,0.1301792435,0.099163129
2073,90-94,0.0711620575,0.0466509295
2073,95-99,0.0269003445,0.013862174
2073,100+,0.007226343,0.0024979235
2074,0-4,0.307203646,0.3192625635
2074,5-9,0.3098447375,0.3213796125
2074,10-14,0.3120403285,0.3233561275
2074,15-19,0.315027573,0.326010613
2074,20-24,0.31981169,0.3302035955
2074,25-29,0.3245891905,0.334749969
2074,30-34,0.3247926285,0.334367419
2074,35-39,0.320330581,0.328838624
2074,40-44,0.313255952,0.3205954875
2074,45-49,0.305177187,0.3115338035
2074,50-54,0.298082878,0.303476597
2074,55-59,0.305823943,0.3105190635
2074,60-64,0.29608614,0.2969313205
2074,65-69,0.270182408,0.2646506045
2074,70-74,0.240792108,0.228155849
2074,75-79,0.21034508,0.1903101105
2074,80-84,0.1805116185,0.1523680695
2074,85-89,0.1331412455,0.1019699005
2074,90-94,0.073034578,0.0480974945
2074,95-99,0.027423095,0.014275643
2074,100+,0.0074214585,0.002582229
2075,0-4,0.306260145,0.318290079
2075,5-9,0.309183571,0.3206988595
2075,10-14,0.311558935,0.3228599295
2075,15-19,0.3140844345,0.3250159575
2075,20-24,0.3185420075,0.328851652
2075,25-29,0.3237191125,0.333811704
2075,30-34,0.3249429505,0.3344792985
2075,35-39,0.3211466995,0.329606472
2075,40-44,0.31429634,0.3215240145
2075,45-49,0.3062035705,0.312319726
2075,50-54,0.2976797835,0.3026434445
2075,55-59,0.3035181305,0.3076918315
2075,60-64,0.2977406325,0.298443444
2075,65-69,0.2735194765,0.268119245
2075,70-74,0.242648089,0.2300326665
2075,75-79,0.2111606195,0.1915255835
2075,80-84,0.178809891,0.151473861
2075,85-89,0.1359697385,0.1047435455
2075,90-94,0.074938396,0.049608325
2075,95-99,0.028250205,0.014854293
2075,100+,0.0075706795,0.002656859
2076,0-4,0.3052305215,0.317227809
2076,5-9,0.3085012105,0.3199980025
2076,10-14,0.3110243865,0.322309595
2076,15-19,0.313259501,0.3241490955
2076,20-24,0.3173474965,0.327581689
2076,25-29,0.322659153,0.332674873
2076,30-34,0.3249071285,0.3344048405
2076,35-39,0.3218883285,0.330307576
2076,40-44,0.315320228,0.322457639
2076,45-49,0.30724272,0.3131446705
2076,50-54,0.298297582,0.3029294825
2076,55-59,0.3003113675,0.3038680945
2076,60-64,0.299095524,0.299633221
2076,65-69,0.2766722285,0.2713558535
2076,70-74,0.244587103,0.232018669
2076,75-79,0.2124347245,0.1930819425
2076,80-84,0.177568854,0.150993619
2076,85-89,0.1376218295,0.1065588575
2076,90-94,0.077001255,0.051281962
2076,95-99,0.0292752795,0.0155330005
2076,100+,0.0076949925,0.0027284905
2077,0-4,0.3040625585,0.316021451
2077,5-9,0.307759922,0.319238768
2077,10-14,0.310475375,0.3217425775
2077,15-19,0.312549579,0.3234083915
2077,20-24,0.316220383,0.3263847485
2077,25-29,0.3214737035,0.3314090445
2077,30-34,0.3246775875,0.3341310425
2077,35-39,0.322520374,0.330907678
2077,40-44,0.3163146605,0.3233760365
2077,45-49,0.3083041715,0.3140219545
2077,50-54,0.299285552,0.3036230825
2077,55-59,0.296799084,0.2996862645
2077,60-64,0.2998568915,0.3002135725
2077,65-69,0.2798031905,0.274547045
2077,70-74,0.247136253,0.234665643
2077,75-79,0.213839907,0.194634757
2077,80-84,0.1772571265,0.151331814
2077,85-89,0.1376839725,0.1070324525
2077,90-94,0.0791864255,0.0531019435
2077,95-99,0.03047155,0.016295881
2077,100+,0.0078234705,0.002806114
2078,0-4,0.302780536,0.3146964235
2078,5-9,0.3069713955,0.3184309265
2078,10-14,0.309907958,0.321156139
2078,15-19,0.311928026,0.3227642015
2078,20-24,0.3151592295,0.3252603995
2078,25-29,0.320221576,0.3300761115
2078,30-34,0.32424533,0.333649463
2078,35-39,0.3229861485,0.331342439
2078,40-44,0.3172948685,0.324292758
2078,45-49,0.309377863,0.3149433085
2078,50-54,0.3003078925,0.3043698015
2078,55-59,0.294179741,0.29647846
2078,60-64,0.299492627,0.299570512
2078,65-69,0.282520907,0.277270607
2078,70-74,0.250239201,0.2378898905
2078,75-79,0.2154231185,0.1962695945
2078,80-84,0.1773183745,0.151952261
2078,85-89,0.137181739,0.1070609615
2078,90-94,0.0813556245,0.054925332
2078,95-99,0.0315860225,0.016994872
2078,100+,0.0079800995,0.002897013
2079,0-4,0.3014628895,0.313332701
2079,5-9,0.306125696,0.3175635725
2079,10-14,0.3092913845,0.3205207265
2079,15-19,0.3114136645,0.322233096
2079,20-24,0.3141623035,0.324209424
2079,25-29,0.3189412495,0.328715809
2079,30-34,0.3235920685,0.332942298
2079,35-39,0.3233027625,0.3316260025
2079,40-44,0.318223926,0.3251718415
2079,45-49,0.310441813,0.315881041
2079,50-54,0.3013264795,0.305136
2079,55-59,0.292712213,0.2945249
2079,60-64,0.2981550845,0.2978537015
2079,65-69,0.284613676,0.2792942205
2079,70-74,0.2535712005,0.2413405895
2079,75-79,0.2172374615,0.198095779
2079,80-84,0.177650925,0.1527388395
2079,85-89,0.1363965385,0.1069011135
2079,90-94,0.083483912,0.0567231405
2079,95-99,0.0325268935,0.0175988325
2079,100+,0.008212739,0.003018413
2080,0-4,0.3001197055,0.311939332
2080,5-9,0.3052068005,0.316620871
2080,10-14,0.308641997,0.3198526055
2080,15-19,0.3109416215,0.321747981
2080,20-24,0.3132320515,0.3232326995
2080,25-29,0.3176871385,0.3273869825
2080,30-34,0.322739267,0.33202765
2080,35-39,0.323471114,0.33176215
2080,40-44,0.3190578335,0.3259644255
2080,45-49,0.311497387,0.316834463
2080,50-54,0.302368716,0.305949741
2080,55-59,0.292340281,0.2937537095
2080,60-64,0.295913468,0.2951533235
2080,65-69,0.286285634,0.280838399
2080,70-74,0.256820702,0.244681963
2080,75-79,0.2190111625,0.199878489
2080,80-84,0.178475817,0.153913056
2080,85-89,0.1352377125,0.106471503
2080,90-94,0.0855611845,0.058534613
2080,95-99,0.033527219,0.018261229
2080,100+,0.00852449,0.0031707
2081,0-4,0.298748779,0.310516547
2081,5-9,0.3042015805,0.315588403
2081,10-14,0.307971246,0.31916429
2081,15-19,0.310416602,0.3212090645
2081,20-24,0.3124197215,0.322383597
2081,25-29,0.3165078025,0.326139643
2081,30-34,0.321696745,0.330915004
2081,35-39,0.32345387,0.3317128085
2081,40-44,0.319817632,0.32669094
2081,45-49,0.312537504,0.317794101
2081,50-54,0.3034241705,0.3068024845
2081,55-59,0.2929822385,0.2940870705
2081,60-64,0.292777312,0.291469469
2081,65-69,0.2876720145,0.282081614
2081,70-74,0.259888843,0.24779697
2081,75-79,0.2208793855,0.2017789335
2081,80-84,0.179696636,0.1553613635
2081,85-89,0.134450301,0.106348456
2081,90-94,0.086832239,0.05975449
2081,95-99,0.034644649,0.01901503
2081,100+,0.00888286,0.0033390785
2082,0-4,0.297407254,0.3091256675
2082,5-9,0.303058033,0.3144124755
2082,10-14,0.3072413,0.318417522
2082,15-19,0.3098771005,0.320653643
2082,20-24,0.311722037,0.321660516
2082,25-29,0.315395426,0.3249650155
2082,30-34,0.32052887,0.3296739245
2082,35-39,0.323243075,0.331464746
2082,40-44,0.3204684315,0.327317573
2082,45-49,0.3135491645,0.3187399655
2082,50-54,0.304502466,0.3077079995
2082,55-59,0.29399151,0.2948217495
2082,60-64,0.2893364245,0.2874308965
2082,65-69,0.288485416,0.282750394
2082,70-74,0.2629450385,0.2508800855
2082,75-79,0.223331839,0.204290303
2082,80-84,0.181001139,0.1567720675
2082,85-89,0.1343774,0.106794609
2082,90-94,0.087008798,0.0601527075
2082,95-99,0.035860525,0.0198501965
2082,100+,0.0092881495,0.0035214415
2083,0-4,0.296086876,0.3077567155
2083,5-9,0.3018000765,0.313117811
2083,10-14,0.306463801,0.3176219825
2083,15-19,0.3093190645,0.3200787715
2083,20-24,0.311112477,0.3210337045
2083,25-29,0.314348805,0.3238628835
2083,30-34,0.319294495,0.3283660725
2083,35-39,0.322829785,0.3310095275
2083,40-44,0.320953941,0.327780255
2083,45-49,0.314547344,0.319685227
2083,50-54,0.3055939905,0.308658422
2083,55-59,0.295034937,0.29560817
2083,60-64,0.2867802715,0.2843494585
2083,65-69,0.2881918615,0.2822308535
2083,70-74,0.265614646,0.2535375945
2083,75-79,0.2263057615,0.2073268155
2083,80-84,0.1824500735,0.158241291
2083,85-89,0.134590601,0.107440005
2083,90-94,0.0868204895,0.060308164
2083,95-99,0.03704905,0.0206667335
2083,100+,0.0096652005,0.0036923945
2084,0-4,0.294731619,0.3063531825
2084,5-9,0.300505663,0.311783406
2084,10-14,0.3056289035,0.316766823
2084,15-19,0.308711901,0.319455096
2084,20-24,0.3106097895,0.320519491
2084,25-29,0.3133662825,0.322834081
2084,30-34,0.3180319615,0.3270310115
2084,35-39,0.3221960355,0.3303295965
2084,40-44,0.321290886,0.3280926655
2084,45-49,0.315495496,0.3205943555
2084,50-54,0.3066769575,0.309626478
2084,55-59,0.296075153,0.2964136435
2084,60-64,0.2853660735,0.282502045
2084,65-69,0.286933229,0.2806564465
2084,70-74,0.26769171,0.2555452485
2084,75-79,0.229491271,0.2105666345
2084,80-84,0.1841086255,0.1598802375
2084,85-89,0.135012745,0.108206289
2084,90-94,0.0864772315,0.0603906785
2084,95-99,0.038190797,0.021451412
2084,100+,0.0100045185,0.0038517245
2085,0-4,0.2933372765,0.30491129
2085,5-9,0.299184912,0.3104188875
2085,10-14,0.304720627,0.3158363605
2085,15-19,0.3080718155,0.3187988365
2085,20-24,0.31014924,0.3200512435
2085,25-29,0.3124502185,0.3218795745
2085,30-34,0.316795365,0.3257273305
2085,35-39,0.3213628445,0.3294428615
2085,40-44,0.321480022,0.328258632
2085,45-49,0.316349574,0.3214188205
2085,50-54,0.3077525515,0.3106113965
2085,55-59,0.2971390415,0.2972657635
2085,60-64,0.2850364145,0.281815752
2085,65-69,0.2847788395,0.2781172385
2085,70-74,0.2693720775,0.2571096655
2085,75-79,0.2325917515,0.213700196
2085,80-84,0.1857480605,0.161505172
2085,85-89,0.1358411985,0.1092782665
2085,90-94,0.0859547185,0.0603856365
2085,95-99,0.0393417515,0.022266246
2085,100+,0.010389791,0.00403184
2086,0-4,0.2919060555,0.303430337
2086,5-9,0.297835593,0.3090244985
2086,10-14,0.303725866,0.314816158
2086,15-19,0.3074101525,0.318122193
2086,20-24,0.309635927,0.3195296125
2086,25-29,0.3116517945,0.321052284
2086,30-34,0.3156331165,0.324504523
2086,35-39,0.3203401375,0.3283586975
2086,40-44,0.3214842905,0.3282400655
2086,45-49,0.317130186,0.3221780835
2086,50-54,0.308814077,0.3116038155
2086,55-59,0.2982169285,0.298156772
2086,60-64,0.2857109975,0.2822130205
2086,65-69,0.28174013,0.274614616
2086,70-74,0.270787516,0.258402622
2086,75-79,0.235514768,0.2166177375
2086,80-84,0.18749664,0.1632583915
2086,85-89,0.1369770845,0.1105461985
2086,90-94,0.085692869,0.060567666
2086,95-99,0.040083527,0.022835315
2086,100+,0.0108300125,0.0042360045
2087,0-4,0.29042934,0.301902336
2087,5-9,0.2965150295,0.307661042
2087,10-14,0.302592792,0.3136526005
2087,15-19,0.3066892295,0.317387081
2087,20-24,0.3091082005,0.318991495
2087,25-29,0.310967698,0.320350416
2087,30-34,0.314537463,0.323353802
2087,35-39,0.3191924325,0.327146407
2087,40-44,0.321295444,0.328023264
2087,45-49,0.3178028365,0.3228386195
2087,50-54,0.30984872,0.3125841495
2087,55-59,0.2993187685,0.2991008195
2087,60-64,0.286749265,0.283002581
2087,65-69,0.278399404,0.270763964
2087,70-74,0.271662588,0.25916958
2087,75-79,0.238439923,0.2195211855
2087,80-84,0.1897842005,0.165546252
2087,85-89,0.138144281,0.1117508045
2087,90-94,0.0858768525,0.0610455535
2087,95-99,0.040272709,0.0230692635
2087,100+,0.0113191445,0.004460086
2088,0-4,0.288956175,0.3003804715
2088,5-9,0.29521494,0.3063191225
2088,10-14,0.301345141,0.312370289
2088,15-19,0.305920589,0.3166031635
2088,20-24,0.3085617175,0.318433794
2088,25-29,0.3103713995,0.3197444565
2088,30-34,0.31350721,0.322275306
2088,35-39,0.3179782725,0.3258675385
2088,40-44,0.3209043285,0.3275999615
2088,45-49,0.318311255,0.3233367415
2088,50-54,0.3108707825,0.313565088
2088,55-59,0.3004348845,0.3000902785
2088,60-64,0.287821017,0.283841274
2088,65-69,0.2759309685,0.2678457185
2088,70-74,0.2714593925,0.2587968315
2088,75-79,0.2410161995,0.222052176
2088,80-84,0.1925407295,0.1682813325
2088,85-89,0.139416251,0.1129878955
2088,90-94,0.086241359,0.0616299755
2088,95-99,0.04031005,0.0232298805
2088,100+,0.011788912,0.0046777575
2089,0-4,0.287495369,0.2988718345
2089,5-9,0.2938792855,0.3049424535
2089,10-14,0.300060614,0.3110479795
2089,15-19,0.305094264,0.3157594345
2089,20-24,0.307966024,0.317827524
2089,25-29,0.309881523,0.3192505355
2089,30-34,0.3125407845,0.321270002
2089,35-39,0.3167358385,0.324561519
2089,40-44,0.320293258,0.3269530125
2089,45-49,0.318671738,0.323685654
2089,50-54,0.3118441375,0.314511684
2089,55-59,0.3015438185,0.301098455
2089,60-64,0.2888899505,0.284697722
