Location,Time,Sex,Age,Value
World,2042,Female,0-24,1606210046.0
World,2042,Male,25-49,1582059046.5
World,2042,Female,25-49,1505329291.5
World,2042,Male,50+,1133499147.0
World,2042,Female,50+,1175668606.5
World,2042,Male,75+,263324423.5
World,2042,Female,75+,360437360.5
World,2043,Male,0-24,1676385981.5
World,2043,Female,0-24,1606576452.5
World,2043,Male,25-49,1589333019.0
World,2043,Female,25-49,1512200560.5
World,2043,Male,50+,1145501630.0
World,2043,Female,50+,1186399724.0
World,2043,Male,75+,272236263.0
World,2043,Female,75+,371202790.0
World,2044,Male,0-24,1676543179.5
World,2044,Female,0-24,1607897878.5
World,2044,Male,25-49,1595514185.0
World,2044,Female,25-49,1518324326.5
World,2044,Male,50+,1156270322.5
World,2044,Female,50+,1195705707.0
World,2044,Male,75+,281676868.0
World,2044,Female,75+,382475956.5
World,2045,Male,0-24,1677753727.0
World,2045,Female,0-24,1610105619.5
World,2045,Male,25-49,1600468712.0
World,2045,Female,25-49,1523539305.0
World,2045,Male,50+,1166507130.5
World,2045,Female,50+,1204358423.5
World,2045,Male,75+,291134648.5
World,2045,Female,75+,393676008.5
World,2046,Male,0-24,1679898670.0
World,2046,Female,0-24,1613080790.5
World,2046,Male,25-49,1604354236.5
World,2046,Female,25-49,1527951489.5
World,2046,Male,50+,1176280165.5
World,2046,Female,50+,1212489942.5
World,2046,Male,75+,300473942.5
World,2046,Female,75+,404661566.0
World,2047,Male,0-24,1682191833.0
World,2047,Female,0-24,1616116387.0
World,2047,Male,25-49,1607962260.0
World,2047,Female,25-49,1532257033.0
World,2047,Male,50+,1185970216.5
World,2047,Female,50+,1220551917.0
World,2047,Male,75+,309275250.0
World,2047,Female,75+,414972989.0
World,2048,Male,0-24,1684201154.0
World,2048,Female,0-24,1618809271.0
World,2048,Male,25-49,1611565136.0
World,2048,Female,25-49,1536700975.5
World,2048,Male,50+,1195589858.0
World,2048,Female,50+,1228531788.5
World,2048,Male,75+,317637585.5
World,2048,Female,75+,424738700.5
World,2049,Male,0-24,1685821683.0
World,2049,Female,0-24,1621058227.0
World,2049,Male,25-49,1615062356.5
World,2049,Female,25-49,1541167637.0
World,2049,Male,50+,1205320110.5
World,2049,Female,50+,1236636197.5
World,2049,Male,75+,325524100.5
World,2049,Female,75+,433925833.0
World,2050,Male,0-24,1687055209.0
World,2050,Female,0-24,1622872351.0
World,2050,Male,25-49,1617983180.0
World,2050,Female,25-49,1545202338.5
World,2050,Male,50+,1215898623.0
World,2050,Female,50+,1245621490.0
World,2050,Male,75+,332640375.5
World,2050,Female,75+,442218193.0
World,2051,Male,0-24,1687871909.5
World,2051,Female,0-24,1624226678.0
World,2051,Male,25-49,1620495622.0
World,2051,Female,25-49,1548903247.5
World,2051,Male,50+,1227002037.0
World,2051,Female,50+,1255218143.0
World,2051,Male,75+,339148603.5
World,2051,Female,75+,449790675.0
World,2052,Male,0-24,1688284940.0
World,2052,Female,0-24,1625138375.5
World,2052,Male,25-49,1623055155.0
World,2052,Female,25-49,1552647850.5
World,2052,Male,50+,1237999613.0
World,2052,Female,50+,1264848990.5
World,2052,Male,75+,345257606.0
World,2052,Female,75+,456869512.5
World,2053,Male,0-24,1688289724.0
World,2053,Female,0-24,1625605913.5
World,2053,Male,25-49,1625513674.5
World,2053,Female,25-49,1556321561.0
World,2053,Male,50+,1248826773.5
World,2053,Female,50+,1274374077.5
World,2053,Male,75+,351196933.0
World,2053,Female,75+,463732534.0
World,2054,Male,0-24,1687857808.0
World,2054,Female,0-24,1625607223.0
World,2054,Male,25-49,1627652514.0
World,2054,Female,25-49,1559750787.0
World,2054,Male,50+,1259092905.5
World,2054,Female,50+,1283292211.0
World,2054,Male,75+,357587767.5
World,2054,Female,75+,471059385.5
World,2055,Male,0-24,1687022477.0
World,2055,Female,0-24,1625178615.0
World,2055,Male,25-49,1629377777.0
World,2055,Female,25-49,1562855756.0
World,2055,Male,50+,1268700077.5
World,2055,Female,50+,1291467337.5
World,2055,Male,75+,364634122.0
World,2055,Female,75+,479068706.5
World,2056,Male,0-24,1685816870.0
World,2056,Female,0-24,1624356325.0
World,2056,Male,25-49,1630655932.5
World,2056,Female,25-49,1565580308.5
World,2056,Male,50+,1277845348.0
World,2056,Female,50+,1299118997.0
World,2056,Male,75+,372169066.0
World,2056,Female,75+,487580415.0
World,2057,Male,0-24,1684233369.0
World,2057,Female,0-24,1623140849.0
World,2057,Male,25-49,1631287469.0
World,2057,Female,25-49,1567725235.5
World,2057,Male,50+,1286704588.0
World,2057,Female,50+,1306397446.5
World,2057,Male,75+,380272447.5
World,2057,Female,75+,496678746.0
World,2058,Male,0-24,1682274264.5
World,2058,Female,0-24,1621538819.0
World,2058,Male,25-49,1631185419.0
World,2058,Female,25-49,1569207427.0
World,2058,Male,50+,1296043499.0
World,2058,Female,50+,1314085405.5
World,2058,Male,75+,388286876.5
World,2058,Female,75+,505688400.0
World,2059,Male,0-24,1679939175.0
World,2059,Female,0-24,1619548346.0
World,2059,Male,25-49,1630512340.0
World,2059,Female,25-49,1570179410.0
World,2059,Male,50+,1305822377.5
World,2059,Female,50+,1322176702.5
World,2059,Male,75+,396078935.5
World,2059,Female,75+,514448574.0
World,2060,Male,0-24,1677263138.0
World,2060,Female,0-24,1617206521.5
World,2060,Male,25-49,1629564690.0
World,2060,Female,25-49,1570901946.0
World,2060,Male,50+,1315054083.0
World,2060,Female,50+,1329693587.5
World,2060,Male,75+,404362658.5
World,2060,Female,75+,523686981.5
World,2061,Male,0-24,1674344341.5
World,2061,Female,0-24,1614609333.0
World,2061,Male,25-49,1628426038.0
World,2061,Female,25-49,1571420648.5
World,2061,Male,50+,1323500060.0
World,2061,Female,50+,1336450703.0
World,2061,Male,75+,413282073.5
World,2061,Female,75+,533539866.5
World,2062,Male,0-24,1671193801.5
World,2062,Female,0-24,1611767161.0
World,2062,Male,25-49,1626709716.5
World,2062,Female,25-49,1571374437.5
World,2062,Male,50+,1331569969.0
World,2062,Female,50+,1342866923.0
World,2062,Male,75+,422851774.0
World,2062,Female,75+,543973896.5
World,2063,Male,0-24,1667768764.0
World,2063,Female,0-24,1608643039.0
World,2063,Male,25-49,1624813633.5
World,2063,Female,25-49,1571112974.0
World,2063,Male,50+,1339506027.5
World,2063,Female,50+,1349268827.5
World,2063,Male,75+,432479755.5
World,2063,Female,75+,554356094.5
World,2064,Male,0-24,1664123672.0
World,2064,Female,0-24,1605291912.5
World,2064,Male,25-49,1623100030.0
World,2064,Female,25-49,1570967389.0
World,2064,Male,50+,1346997891.5
World,2064,Female,50+,1355384887.0
World,2064,Male,75+,442062765.0
World,2064,Female,75+,564585228.5
World,2065,Male,0-24,1660274281.5
World,2065,Female,0-24,1601728571.5
World,2065,Male,25-49,1621566098.5
World,2065,Female,25-49,1570935415.0
World,2065,Male,50+,1353622705.5
World,2065,Female,50+,1360808057.5
World,2065,Male,75+,451993199.5
World,2065,Female,75+,575036571.0
World,2066,Male,0-24,1656194264.0
World,2066,Female,0-24,1597929402.0
World,2066,Male,25-49,1620132039.0
World,2066,Female,25-49,1570944602.5
World,2066,Male,50+,1360712714.0
World,2066,Female,50+,1366880623.0
World,2066,Male,75+,461024701.0
World,2066,Female,75+,584454670.5
World,2067,Male,0-24,1651968709.5
World,2067,Female,0-24,1593980615.0
World,2067,Male,25-49,1618683795.5
World,2067,Female,25-49,1570901566.0
World,2067,Male,50+,1368964949.0
World,2067,Female,50+,1374278789.5
World,2067,Male,75+,468553857.0
World,2067,Female,75+,592251497.5
World,2068,Male,0-24,1647617272.0
World,2068,Female,0-24,1589899515.0
World,2068,Male,25-49,1618158042.0
World,2068,Female,25-49,1571625032.5
World,2068,Male,50+,1376586364.5
