Location,Iso3,Value,type
Andorra,AND,1.173242,Fertility
Andorra,AND,1.171506,Fertility
Andorra,AND,1.176719,Fertility
Andorra,AND,1.125393,Fertility
Andorra,AND,1.135099,Fertility
Andorra,AND,1.144968,Fertility
Austria,AUT,2.089548,Fertility
Austria,AUT,2.023173,Fertility
Austria,AUT,2.059254,Fertility
Austria,AUT,2.091396,Fertility
Austria,AUT,2.153167,Fertility
Austria,AUT,2.291512,Fertility
Austria,AUT,2.47733,Fertility
Austria,AUT,2.568366,Fertility
Austria,AUT,2.602406,Fertility
Austria,AUT,2.685143,Fertility
Austria,AUT,2.69525,Fertility
Austria,AUT,2.782403,Fertility
Austria,AUT,2.797915,Fertility
Austria,AUT,2.81799,Fertility
Austria,AUT,2.788966,Fertility
Austria,AUT,2.701491,Fertility
Austria,AUT,2.660529,Fertility
Austria,AUT,2.619412,Fertility
Austria,AUT,2.581666,Fertility
Austria,AUT,2.482934,Fertility
Austria,AUT,2.294952,Fertility
Austria,AUT,2.198229,Fertility
Austria,AUT,2.082686,Fertility
Austria,AUT,1.941437,Fertility
Austria,AUT,1.903322,Fertility
Austria,AUT,1.823058,Fertility
Austria,AUT,1.690509,Fertility
Austria,AUT,1.630419,Fertility
Austria,AUT,1.598251,Fertility
Austria,AUT,1.600158,Fertility
Austria,AUT,1.649951,Fertility
Austria,AUT,1.67187,Fertility
Austria,AUT,1.656179,Fertility
Austria,AUT,1.56357,Fertility
Austria,AUT,1.521456,Fertility
Austria,AUT,1.475242,Fertility
Austria,AUT,1.449153,Fertility
Austria,AUT,1.433678,Fertility
Austria,AUT,1.44639,Fertility
Austria,AUT,1.446253,Fertility
Austria,AUT,1.459562,Fertility
Austria,AUT,1.505284,Fertility
Austria,AUT,1.517408,Fertility
Austria,AUT,1.50074,Fertility
Austria,AUT,1.464491,Fertility
Austria,AUT,1.435383,Fertility
Austria,AUT,1.448437,Fertility
Austria,AUT,1.394647,Fertility
Austria,AUT,1.370962,Fertility
Austria,AUT,1.342712,Fertility
Austria,AUT,1.358329,Fertility
Austria,AUT,1.33578,Fertility
Austria,AUT,1.385687,Fertility
Austria,AUT,1.377817,Fertility
Austria,AUT,1.415279,Fertility
Austria,AUT,1.407302,Fertility
Austria,AUT,1.407125,Fertility
Austria,AUT,1.387094,Fertility
Austria,AUT,1.411914,Fertility
Austria,AUT,1.398672,Fertility
Austria,AUT,1.435153,Fertility
Austria,AUT,1.431728,Fertility
Austria,AUT,1.438883,Fertility
Austria,AUT,1.437975,Fertility
Austria,AUT,1.463444,Fertility
Austria,AUT,1.490986,Fertility
Austria,AUT,1.525622,Fertility
Austria,AUT,1.516593,Fertility
Austria,AUT,1.476802,Fertility
Austria,AUT,1.464601,Fertility
Austria,AUT,1.439708,Fertility
Austria,AUT,1.470117,Fertility
Austria,AUT,1.473851,Fertility
Austria,AUT,1.479883,Fertility
Belgium,BEL,2.350372,Fertility
Belgium,BEL,2.293888,Fertility
Belgium,BEL,2.329745,Fertility
Belgium,BEL,2.333491,Fertility
Belgium,BEL,2.36881,Fertility
Belgium,BEL,2.382774,Fertility
Belgium,BEL,2.40302,Fertility
Belgium,BEL,2.45169,Fertility
Belgium,BEL,2.501284,Fertility
Belgium,BEL,2.567192,Fertility
Belgium,BEL,2.541983,Fertility
Belgium,BEL,2.63028,Fertility
Belgium,BEL,2.597995,Fertility
Belgium,BEL,2.675536,Fertility
Belgium,BEL,2.708606,Fertility
Belgium,BEL,2.613825,Fertility
Belgium,BEL,2.517375,Fertility
Belgium,BEL,2.408105,Fertility
Belgium,BEL,2.299826,Fertility
Belgium,BEL,2.27353,Fertility
Belgium,BEL,2.251022,Fertility
Belgium,BEL,2.206732,Fertility
Belgium,BEL,2.086416,Fertility
Belgium,BEL,1.949711,Fertility
Belgium,BEL,1.833041,Fertility
Belgium,BEL,1.741498,Fertility
Belgium,BEL,1.726949,Fertility
Belgium,BEL,1.708632,Fertility
Belgium,BEL,1.694961,Fertility
Belgium,BEL,1.692268,Fertility
Belgium,BEL,1.680876,Fertility
Belgium,BEL,1.6653,Fertility
Belgium,BEL,1.61909,Fertility
Belgium,BEL,1.567916,Fertility
Belgium,BEL,1.536197,Fertility
Belgium,BEL,1.513708,Fertility
Belgium,BEL,1.541318,Fertility
Belgium,BEL,1.543038,Fertility
Belgium,BEL,1.566439,Fertility
Belgium,BEL,1.581848,Fertility
Belgium,BEL,1.62137,Fertility
Belgium,BEL,1.655005,Fertility
Belgium,BEL,1.649012,Fertility
Belgium,BEL,1.605604,Fertility
Belgium,BEL,1.563203,Fertility
Belgium,BEL,1.563159,Fertility
Belgium,BEL,1.590692,Fertility
Belgium,BEL,1.60394,Fertility
Belgium,BEL,1.597125,Fertility
Belgium,BEL,1.618129,Fertility
Belgium,BEL,1.66404,Fertility
Belgium,BEL,1.668379,Fertility
Belgium,BEL,1.649251,Fertility
Belgium,BEL,1.66803,Fertility
Belgium,BEL,1.719966,Fertility
Belgium,BEL,1.75977,Fertility
Belgium,BEL,1.799709,Fertility
Belgium,BEL,1.81649,Fertility
Belgium,BEL,1.850844,Fertility
Belgium,BEL,1.839959,Fertility
Belgium,BEL,1.857719,Fertility
Belgium,BEL,1.81681,Fertility
Belgium,BEL,1.796827,Fertility
Belgium,BEL,1.757131,Fertility
Belgium,BEL,1.739826,Fertility
Belgium,BEL,1.698599,Fertility
Belgium,BEL,1.683535,Fertility
Belgium,BEL,1.648863,Fertility
Belgium,BEL,1.621502,Fertility
Belgium,BEL,1.587122,Fertility
Belgium,BEL,1.565215,Fertility
Belgium,BEL,1.58312,Fertility
Belgium,BEL,1.588031,Fertility
Belgium,BEL,1.591575,Fertility
Bosnia and Herzegovina,BIH,5.120155,Fertility
Bosnia and Herzegovina,BIH,4.992693,Fertility
Bosnia and Herzegovina,BIH,4.987309,Fertility
Bosnia and Herzegovina,BIH,4.889285,Fertility
Bosnia and Herzegovina,BIH,4.757938,Fertility
Bosnia and Herzegovina,BIH,4.563494,Fertility
Bosnia and Herzegovina,BIH,4.366011,Fertility
Bosnia and Herzegovina,BIH,4.162222,Fertility
