Country Name,Region,Numeric,Lower Confidence Limit,Upper Confidence Limit,Unnamed: 11
Kazakhstan,European Region,82.1807028,no data,no data,
Kazakhstan,European Region,91.6126321,no data,no data,
Kenya,African Region,40.8564792,no data,no data,
Kenya,African Region,37.9617511,no data,no data,
Kenya,African Region,44.28455,no data,no data,
Kiribati,Western Pacific Region,72.8134553,no data,no data,
Kiribati,Western Pacific Region,71.443281,no data,no data,
Kiribati,Western Pacific Region,74.3395989,no data,no data,
Kuwait,Eastern Mediterranean Region,79.3692717,no data,no data,
Kuwait,Eastern Mediterranean Region,77.7221943,no data,no data,
Kuwait,Eastern Mediterranean Region,84.4281148,no data,no data,
Kyrgyzstan,European Region,81.5861781,no data,no data,
Kyrgyzstan,European Region,77.5234956,no data,no data,
Kyrgyzstan,European Region,86.3639937,no data,no data,
Lao People's Democratic Republic,Western Pacific Region,65.3429481,no data,no data,
Lao People's Democratic Republic,Western Pacific Region,63.2243981,no data,no data,
Lao People's Democratic Republic,Western Pacific Region,67.9630879,no data,no data,
Latvia,European Region,91.9936098,no data,no data,
Latvia,European Region,88.525047,no data,no data,
Latvia,European Region,94.8711764,no data,no data,
Lebanon,Eastern Mediterranean Region,88.5511304,no data,no data,
Lebanon,Eastern Mediterranean Region,86.6421852,no data,no data,
Lebanon,Eastern Mediterranean Region,91.1393804,no data,no data,
Lesotho,African Region,45.0802861,no data,no data,
Lesotho,African Region,39.7855411,no data,no data,
Lesotho,African Region,51.2118654,no data,no data,
Liberia,African Region,31.6550623,no data,no data,
Liberia,African Region,27.6977128,no data,no data,
Liberia,African Region,35.831959,no data,no data,
Libya,Eastern Mediterranean Region,75.0503213,no data,no data,
Libya,Eastern Mediterranean Region,69.6093031,no data,no data,
Libya,Eastern Mediterranean Region,81.3621828,no data,no data,
Lithuania,European Region,91.1542758,no data,no data,
Lithuania,European Region,87.7583577,no data,no data,
Lithuania,European Region,94.0590613,no data,no data,
Luxembourg,European Region,88.5966263,no data,no data,
Luxembourg,European Region,87.7847538,no data,no data,
Luxembourg,European Region,89.4014288,no data,no data,
Madagascar,African Region,45.0253642,no data,no data,
Madagascar,African Region,42.1987481,no data,no data,
Madagascar,African Region,48.1257838,no data,no data,
Malawi,African Region,40.1883724,no data,no data,
Malawi,African Region,38.1828285,no data,no data,
Malawi,African Region,42.6911288,no data,no data,
Malaysia,Western Pacific Region,73.4429783,no data,no data,
Malaysia,Western Pacific Region,70.3455254,no data,no data,
Malaysia,Western Pacific Region,77.7914188,no data,no data,
Maldives,South-East Asian Region,85.1781922,no data,no data,
Maldives,South-East Asian Region,84.3804746,no data,no data,
Maldives,South-East Asian Region,86.3482212,no data,no data,
Mali,African Region,30.3222602,no data,no data,
Mali,African Region,27.4560283,no data,no data,
Mali,African Region,33.3076402,no data,no data,
Malta,European Region,89.7452088,no data,no data,
Malta,European Region,89.5335879,no data,no data,
Malta,European Region,89.956703,no data,no data,
Mauritania,African Region,37.0647597,no data,no data,
Mauritania,African Region,32.0650834,no data,no data,
Mauritania,African Region,41.9082773,no data,no data,
Mauritius,African Region,88.3814838,no data,no data,
Mauritius,African Region,86.4343865,no data,no data,
Mauritius,African Region,90.7395232,no data,no data,
Mexico,Region of the Americas,80.4103092,no data,no data,
Mexico,Region of the Americas,75.6219516,no data,no data,
Mexico,Region of the Americas,86.4134904,no data,no data,
Micronesia (Federated States of),Western Pacific Region,79.4845909,no data,no data,
Micronesia (Federated States of),Western Pacific Region,77.6211735,no data,no data,
Micronesia (Federated States of),Western Pacific Region,81.9076176,no data,no data,
Mongolia,Western Pacific Region,82.7159926,no data,no data,
Mongolia,Western Pacific Region,78.9663646,no data,no data,
Mongolia,Western Pacific Region,88.4614177,no data,no data,
Montenegro,European Region,94.1059452,no data,no data,
Montenegro,European Region,92.1501896,no data,no data,
Montenegro,European Region,96.2805867,no data,no data,
Morocco,Eastern Mediterranean Region,84.1902895,no data,no data,
Morocco,Eastern Mediterranean Region,81.1774884,no data,no data,
Morocco,Eastern Mediterranean Region,87.3201177,no data,no data,
Mozambique,African Region,36.1641672,no data,no data,
Mozambique,African Region,35.529493,no data,no data,
Mozambique,African Region,36.9112152,no data,no data,
Myanmar,South-East Asian Region,71.1445252,no data,no data,
Myanmar,South-East Asian Region,68.1539457,no data,no data,
Myanmar,South-East Asian Region,74.7168617,no data,no data,
Namibia,African Region,43.0371729,no data,no data,
Namibia,African Region,40.1554183,no data,no data,
Namibia,African Region,46.5665232,no data,no data,
Nepal,South-East Asian Region,66.4573217,no data,no data,
Nepal,South-East Asian Region,63.7644598,no data,no data,
Nepal,South-East Asian Region,69.4481986,no data,no data,
Netherlands (Kingdom of the),European Region,88.2341888,no data,no data,
Netherlands (Kingdom of the),European Region,88.5913854,no data,no data,
Netherlands (Kingdom of the),European Region,87.8934677,no data,no data,
New Zealand,Western Pacific Region,89.6018985,no data,no data,
New Zealand,Western Pacific Region,88.8667151,no data,no data,
New Zealand,Western Pacific Region,90.3618261,no data,no data,
Nicaragua,Region of the Americas,81.6398959,no data,no data,
Nicaragua,Region of the Americas,77.8818021,no data,no data,
Nicaragua,Region of the Americas,86.2143186,no data,no data,
Niger,African Region,30.3541426,no data,no data,
Niger,African Region,29.2175278,no data,no data,
Niger,African Region,31.6397866,no data,no data,
Nigeria,African Region,27.1317098,no data,no data,
Nigeria,African Region,25.7200282,no data,no data,
Nigeria,African Region,28.7729474,no data,no data,
North Macedonia,European Region,96.1318706,no data,no data,
North Macedonia,European Region,95.0508721,no data,no data,
North Macedonia,European Region,97.2896423,no data,no data,
Norway,European Region,86.7221299,no data,no data,
Norway,European Region,86.4010947,no data,no data,
Norway,European Region,87.0314872,no data,no data,
Oman,Eastern Mediterranean Region,79.7897919,no data,no data,
Oman,Eastern Mediterranean Region,75.994765,no data,no data,
Oman,Eastern Mediterranean Region,85.9892813,no data,no data,
Pakistan,Eastern Mediterranean Region,59.8558675,no data,no data,
Pakistan,Eastern Mediterranean Region,58.8275769,no data,no data,
Pakistan,Eastern Mediterranean Region,61.0860655,no data,no data,
Panama,Region of the Americas,77.8599906,no data,no data,
Panama,Region of the Americas,73.3111009,no data,no data,
Panama,Region of the Americas,83.9296444,no data,no data,
Papua New Guinea,Western Pacific Region,62.3545334,no data,no data,
Papua New Guinea,Western Pacific Region,62.3522622,no data,no data,
Papua New Guinea,Western Pacific Region,62.3573882,no data,no data,
Paraguay,Region of the Americas,74.9383369,no data,no data,
Paraguay,Region of the Americas,71.7883578,no data,no data,
Paraguay,Region of the Americas,79.4328471,no data,no data,
Peru,Region of the Americas,72.5860849,no data,no data,
Peru,Region of the Americas,69.0360488,no data,no data,
Peru,Region of the Americas,76.5036634,no data,no data,
Philippines,Western Pacific Region,69.7491444,no data,no data,
Philippines,Western Pacific Region,68.0880586,no data,no data,
Philippines,Western Pacific Region,71.7272073,no data,no data,
Poland,European Region,89.9068976,no data,no data,
Poland,European Region,87.996483,no data,no data,
Poland,European Region,91.9140503,no data,no data,
Portugal,European Region,86.6892779,no data,no data,
Portugal,European Region,85.7558145,no data,no data,
Portugal,European Region,87.6496234,no data,no data,
Qatar,Eastern Mediterranean Region,76.8900092,no data,no data,
Qatar,Eastern Mediterranean Region,70.6661692,no data,no data,
Qatar,Eastern Mediterranean Region,89.7520209,no data,no data,
Republic of Korea,Western Pacific Region,77.9104186,no data,no data,
Republic of Korea,Western Pacific Region,76.4617214,no data,no data,
Republic of Korea,Western Pacific Region,79.6333981,no data,no data,
Republic of Moldova,European Region,89.484238,no data,no data,
Republic of Moldova,European Region,84.8917929,no data,no data,
Republic of Moldova,European Region,94.523505,no data,no data,
Romania,European Region,91.0371462,no data,no data,
Romania,European Region,88.7295071,no data,no data,
Romania,European Region,93.5395689,no data,no data,
Russian Federation,European Region,89.3053299,no data,no data,
Russian Federation,European Region,84.4480083,no data,no data,
Russian Federation,European Region,94.0433218,no data,no data,
Rwanda,African Region,50.3926881,no data,no data,
Rwanda,African Region,47.4612021,no data,no data,
Rwanda,African Region,53.774108,no data,no data,
Saint Lucia,Region of the Americas,82.0967853,no data,no data,
Saint Lucia,Region of the Americas,79.1409868,no data,no data,
Saint Lucia,Region of the Americas,86.6074054,no data,no data,
Saint Vincent and the Grenadines,Region of the Americas,79.0991012,no data,no data,
Saint Vincent and the Grenadines,Region of the Americas,75.3658591,no data,no data,
Saint Vincent and the Grenadines,Region of the Americas,83.6488987,no data,no data,
Samoa,Western Pacific Region,81.7513762,no data,no data,
Samoa,Western Pacific Region,79.3330451,no data,no data,
Samoa,Western Pacific Region,84.3129468,no data,no data,
Sao Tome and Principe,African Region,57.6304498,no data,no data,
Sao Tome and Principe,African Region,51.9001185,no data,no data,
Sao Tome and Principe,African Region,63.6833074,no data,no data,
Saudi Arabia,Eastern Mediterranean Region,73.4102211,no data,no data,
Saudi Arabia,Eastern Mediterranean Region,68.9378917,no data,no data,
Saudi Arabia,Eastern Mediterranean Region,81.6486874,no data,no data,
Senegal,African Region,44.9103408,no data,no data,
Senegal,African Region,40.3071047,no data,no data,
Senegal,African Region,49.7428173,no data,no data,
Serbia,European Region,94.9158842,no data,no data,
Serbia,European Region,93.6166855,no data,no data,
Serbia,European Region,96.2391418,no data,no data,
Seychelles,African Region,78.9806538,no data,no data,
Seychelles,African Region,75.6087709,no data,no data,
Seychelles,African Region,83.2764419,no data,no data,
Sierra Leone,African Region,34.0743982,no data,no data,
Sierra Leone,African Region,30.4199824,no data,no data,
Sierra Leone,African Region,37.8861574,no data,no data,
Singapore,Western Pacific Region,75.0212481,no data,no data,
Singapore,Western Pacific Region,75.4428376,no data,no data,
Singapore,Western Pacific Region,74.4620341,no data,no data,
Slovakia,European Region,88.6085086,no data,no data,
Slovakia,European Region,86.2386697,no data,no data,
Slovakia,European Region,91.1756308,no data,no data,
Slovenia,European Region,89.9880997,no data,no data,
Slovenia,European Region,89.2545139,no data,no data,
Slovenia,European Region,90.692104,no data,no data,
Solomon Islands,Western Pacific Region,66.8316988,no data,no data,
Solomon Islands,Western Pacific Region,66.6060485,no data,no data,
Solomon Islands,Western Pacific Region,67.1305884,no data,no data,
Somalia,Eastern Mediterranean Region,29.8790261,no data,no data,
Somalia,Eastern Mediterranean Region,30.4661891,no data,no data,
Somalia,Eastern Mediterranean Region,29.1512317,no data,no data,
South Africa,African Region,51.3300566,no data,no data,
South Africa,African Region,46.8720515,no data,no data,
South Africa,African Region,56.6406745,no data,no data,
South Sudan,African Region,27.9405169,no data,no data,
South Sudan,African Region,26.6297812,no data,no data,
South Sudan,African Region,29.4691046,no data,no data,
Spain,European Region,90.7674536,no data,no data,
Spain,European Region,90.1679902,no data,no data,
Spain,European Region,91.3823102,no data,no data,
Sri Lanka,South-East Asian Region,82.5187049,no data,no data,
Sri Lanka,South-East Asian Region,80.0754129,no data,no data,
Sri Lanka,South-East Asian Region,85.5529906,no data,no data,
Sudan,Eastern Mediterranean Region,53.9452462,no data,no data,
Sudan,Eastern Mediterranean Region,50.3288045,no data,no data,
Sudan,Eastern Mediterranean Region,58.1116648,no data,no data,
Suriname,Region of the Americas,78.6097364,no data,no data,
Suriname,Region of the Americas,75.1737978,no data,no data,
Suriname,Region of the Americas,82.9659634,no data,no data,
Sweden,European Region,89.0470759,no data,no data,
Sweden,European Region,88.0095169,no data,no data,
Sweden,European Region,90.0559375,no data,no data,
Switzerland,European Region,89.5529244,no data,no data,
Switzerland,European Region,88.7674538,no data,no data,
Switzerland,European Region,90.2950149,no data,no data,
Syrian Arab Republic,Eastern Mediterranean Region,75.2126624,no data,no data,
Syrian Arab Republic,Eastern Mediterranean Region,72.4505864,no data,no data,
Syrian Arab Republic,Eastern Mediterranean Region,78.0772301,no data,no data,
Tajikistan,European Region,73.1880152,no data,no data,
Tajikistan,European Region,70.1343057,no data,no data,
Tajikistan,European Region,77.0450825,no data,no data,
Thailand,South-East Asian Region,76.5819669,no data,no data,
Thailand,South-East Asian Region,72.5544954,no data,no data,
Thailand,South-East Asian Region,81.5821106,no data,no data,
Timor-Leste,South-East Asian Region,53.0839424,no data,no data,
Timor-Leste,South-East Asian Region,49.8327496,no data,no data,
Timor-Leste,South-East Asian Region,56.9137012,no data,no data,
Togo,African Region,41.1204738,no data,no data,
Togo,African Region,40.3296133,no data,no data,
Togo,African Region,42.1456856,no data,no data,
Tonga,Western Pacific Region,79.4010785,no data,no data,
Tonga,Western Pacific Region,78.7224859,no data,no data,
Tonga,Western Pacific Region,80.339298,no data,no data,
Trinidad and Tobago,Region of the Americas,82.6593999,no data,no data,
Trinidad and Tobago,Region of the Americas,78.8938178,no data,no data,
Trinidad and Tobago,Region of the Americas,87.985876,no data,no data,
Tunisia,Eastern Mediterranean Region,85.9446989,no data,no data,
Tunisia,Eastern Mediterranean Region,83.3225357,no data,no data,
Tunisia,Eastern Mediterranean Region,89.0148219,no data,no data,
Türkiye,European Region,90.166608,no data,no data,
Türkiye,European Region,88.7091508,no data,no data,
Türkiye,European Region,91.671024,no data,no data,
Turkmenistan,European Region,72.3043873,no data,no data,
Turkmenistan,European Region,68.1647572,no data,no data,
Turkmenistan,European Region,77.5529378,no data,no data,
Uganda,African Region,35.5809226,no data,no data,
Uganda,African Region,33.0776818,no data,no data,
Uganda,African Region,38.829195,no data,no data,
Ukraine,European Region,91.8551649,no data,no data,
Ukraine,European Region,87.8805204,no data,no data,
Ukraine,European Region,95.7460213,no data,no data,
United Arab Emirates,Eastern Mediterranean Region,77.0996232,no data,no data,
United Arab Emirates,Eastern Mediterranean Region,75.6923954,no data,no data,
United Arab Emirates,Eastern Mediterranean Region,81.8385428,no data,no data,
United Kingdom of Great Britain and Northern Ireland,European Region,88.1570765,no data,no data,
United Kingdom of Great Britain and Northern Ireland,European Region,87.9527734,no data,no data,
United Kingdom of Great Britain and Northern Ireland,European Region,88.3591139,no data,no data,
United Republic of Tanzania,African Region,34.3811378,no data,no data,
United Republic of Tanzania,African Region,31.6214343,no data,no data,
United Republic of Tanzania,African Region,37.5309971,no data,no data,
United States of America,Region of the Americas,88.1449805,no data,no data,
United States of America,Region of the Americas,86.2682062,no data,no data,
United States of America,Region of the Americas,90.1088113,no data,no data,
Uruguay,Region of the Americas,85.5100184,no data,no data,
Uruguay,Region of the Americas,83.1152563,no data,no data,
Uruguay,Region of the Americas,87.9122267,no data,no data,
Uzbekistan,European Region,85.1820186,no data,no data,
Uzbekistan,European Region,82.26157,no data,no data,
Uzbekistan,European Region,88.6261554,no data,no data,
Vanuatu,Western Pacific Region,73.925557,no data,no data,
Vanuatu,Western Pacific Region,73.5871775,no data,no data,
Vanuatu,Western Pacific Region,74.4315642,no data,no data,
Venezuela (Bolivarian Republic of),Region of the Americas,65.0577004,no data,no data,
Venezuela (Bolivarian Republic of),Region of the Americas,57.166754,no data,no data,
Venezuela (Bolivarian Republic of),Region of the Americas,76.2566362,no data,no data,
Viet Nam,Western Pacific Region,81.3665708,no data,no data,
Viet Nam,Western Pacific Region,78.8314843,no data,no data,
Viet Nam,Western Pacific Region,84.5438658,no data,no data,
Yemen,Eastern Mediterranean Region,50.3616968,no data,no data,
Yemen,Eastern Mediterranean Region,46.3668435,no data,no data,
Yemen,Eastern Mediterranean Region,55.3205725,no data,no data,
Zambia,African Region,34.7923815,no data,no data,
Zambia,African Region,34.4366619,no data,no data,
Zambia,African Region,35.2182906,no data,no data,
Zimbabwe,African Region,39.2582276,no data,no data,
Zimbabwe,African Region,33.7378657,no data,no data,
Zimbabwe,African Region,45.1224073,no data,no data,
,African Region,63.57181,47.73701,75.78974,
,African Region,67.11369,51.6709,78.53895,
,African Region,59.86959,43.81993,72.80572,
,Eastern Mediterranean Region,55.34765,42.24922,66.57224,
,Eastern Mediterranean Region,58.057,45.14402,68.93629,
,Eastern Mediterranean Region,52.23088,38.99766,63.78868,
,European Region,29.76111,23.82993,36.03499,
,European Region,38.63698,31.8424,45.40513,
,European Region,21.0867,16.35745,26.44059,
,Global,41.75112,32.95958,50.58271,
,Global,47.15076,38.22885,55.78291,
,Global,35.57923,27.13084,44.45751,
,Region of the Americas,36.44895,30.75699,42.51762,
,Region of the Americas,41.40879,35.5797,47.51075,
,Region of the Americas,31.32255,25.86295,37.25445,
,South-East Asian Region,52.36259,42.67313,60.87548,
,South-East Asian Region,56.48669,47.0754,64.62116,
,South-East Asian Region,47.46672,37.56662,56.32907,
,Western Pacific Region,36.01318,29.01121,43.08775,
,Western Pacific Region,41.22836,33.79422,48.42341,
,Western Pacific Region,29.10278,22.89228,35.79151,
Afghanistan,Eastern Mediterranean Region,66.54367,49.74871,77.97528,
Afghanistan,Eastern Mediterranean Region,70.11118,54.59822,80.43609,
Afghanistan,Eastern Mediterranean Region,63.32239,45.46232,75.7289,
Albania,European Region,16.08685,10.37694,23.2788,
Albania,European Region,25.2687,16.92248,34.89827,
Albania,European Region,8.08486,5.0777,12.17137,
Algeria,African Region,36.46758,25.02165,47.99175,
Algeria,African Region,37.70106,25.95253,49.3979,
Algeria,African Region,35.13614,24.03153,46.44899,
Angola,African Region,68.12737,50.65003,79.98888,
Angola,African Region,72.43595,56.58936,82.72581,
Angola,African Region,63.02079,43.86489,76.73196,
Antigua and Barbuda,Region of the Americas,40.89869,31.4242,50.08871,
Antigua and Barbuda,Region of the Americas,41.26957,31.64732,50.71098,
Antigua and Barbuda,Region of the Americas,40.52924,31.20328,49.46102,
Argentina,Region of the Americas,33.25535,26.85252,39.81701,
Argentina,Region of the Americas,39.53058,32.72007,46.34896,
Argentina,Region of the Americas,26.90715,21.09327,32.98904,
Armenia,European Region,37.15325,29.73644,44.51481,
Armenia,European Region,46.87701,38.90013,54.23345,
Armenia,European Region,27.37279,21.02188,34.24128,
Australia,Western Pacific Region,22.63362,17.88942,28.04152,
Australia,Western Pacific Region,26.45233,21.17847,32.36458,
Australia,Western Pacific Region,18.56213,14.45214,23.32236,
Austria,European Region,19.7949,15.49027,24.62738,
Austria,European Region,25.63734,20.56629,31.19287,
Austria,European Region,14.35358,10.88534,18.32542,
Azerbaijan,European Region,45.66795,34.7599,56.14761,
Azerbaijan,European Region,56.36502,45.06824,66.3095,
Azerbaijan,European Region,34.77711,25.19888,44.80878,
Bahamas,Region of the Americas,54.86987,44.60179,63.93193,
Bahamas,Region of the Americas,58.142,47.92003,66.92039,
Bahamas,Region of the Americas,51.15899,40.94471,60.46007,
Bahrain,Eastern Mediterranean Region,54.3039,42.46079,64.61307,
Bahrain,Eastern Mediterranean Region,61.59083,49.78033,71.28286,
Bahrain,Eastern Mediterranean Region,43.45232,32.51108,53.74677,
Bangladesh,South-East Asian Region,47.37702,33.2305,60.37294,
Bangladesh,South-East Asian Region,51.164,36.50628,63.97375,
Bangladesh,South-East Asian Region,42.91076,29.56432,55.92898,
Barbados,Region of the Americas,27.85633,20.2849,35.98361,
Barbados,Region of the Americas,30.92485,22.69844,39.58217,
Barbados,Region of the Americas,25.03436,18.11851,32.58085,
Belarus,European Region,37.11937,28.54903,46.17624,
Belarus,European Region,53.5632,44.06314,62.35234,
Belarus,European Region,21.87726,15.66109,29.48219,
Belgium,European Region,20.98437,16.66283,25.85636,
Belgium,European Region,26.50096,21.5894,31.94706,
Belgium,European Region,15.72531,12.06945,19.89564,
Belize,Region of the Americas,50.62725,40.85282,59.47421,
Belize,Region of the Americas,51.15033,41.2641,59.99509,
Belize,Region of the Americas,49.95983,40.33242,58.80612,
Benin,African Region,63.36145,45.65961,76.44883,
Benin,African Region,67.86753,50.61825,79.80013,
Benin,African Region,58.6607,40.84288,72.78805,
Bhutan,South-East Asian Region,37.57517,23.11606,52.64855,
Bhutan,South-East Asian Region,38.63448,23.52369,54.64302,
Bhutan,South-East Asian Region,36.20126,22.6014,49.90018,
Bolivia (Plurinational State of),Region of the Americas,35.25676,21.98713,48.43527,
Bolivia (Plurinational State of),Region of the Americas,37.39967,23.25587,51.02723,
Bolivia (Plurinational State of),Region of the Americas,33.3695,20.9052,46.07368,
Bosnia and Herzegovina,European Region,30.48579,22.33751,39.2321,
Bosnia and Herzegovina,European Region,38.76647,29.41006,48.20421,
Bosnia and Herzegovina,European Region,22.31489,15.77402,29.77024,
Botswana,African Region,59.24347,42.41785,72.00298,
Botswana,African Region,64.25642,48.5379,75.70473,
Botswana,African Region,54.1632,36.44479,68.17039,
Brazil,Region of the Americas,43.74378,39.46131,48.09848,
Brazil,Region of the Americas,48.98979,44.72598,53.21615,
Brazil,Region of the Americas,37.94315,33.72383,42.36855,
Brunei Darussalam,Western Pacific Region,53.59542,42.8606,63.10321,
Brunei Darussalam,Western Pacific Region,57.91814,47.30876,67.0032,
Brunei Darussalam,Western Pacific Region,48.77882,38.075,58.62669,
Bulgaria,European Region,29.67328,22.12409,37.35961,
Bulgaria,European Region,38.37959,29.602,46.71062,
Bulgaria,European Region,20.50734,14.7324,26.88989,
Burkina Faso,African Region,72.05328,53.3246,84.51167,
Burkina Faso,African Region,76.14236,56.68952,87.69466,
Burkina Faso,African Region,67.60494,50.22645,80.4629,
Burundi,African Region,71.06422,53.59054,82.69469,
Burundi,African Region,74.77601,58.31134,85.29033,
Burundi,African Region,67.09823,48.84545,79.77063,
Cabo Verde,African Region,43.82111,31.3391,55.67801,
Cabo Verde,African Region,55.09346,41.76486,66.32191,
Cabo Verde,African Region,32.25074,21.816,43.53697,
Cambodia,Western Pacific Region,59.51865,44.90829,71.00701,
Cambodia,Western Pacific Region,63.67217,49.35936,74.38368,
Cambodia,Western Pacific Region,55.15389,40.45291,67.34253,
Cameroon,African Region,70.35903,52.33595,81.93892,
Cameroon,African Region,72.72628,55.49058,83.53116,
Cameroon,African Region,67.82224,49.05639,80.20018,
Canada,Region of the Americas,26.03781,20.76567,31.87394,
Canada,Region of the Americas,30.55248,24.84752,36.78899,
Canada,Region of the Americas,21.41827,16.67299,26.72142,
Central African Republic,African Region,68.78683,49.87094,81.62502,
Central African Republic,African Region,75.22398,58.02897,85.95455,
Central African Republic,African Region,61.87946,42.00986,76.59298,
Chad,African Region,69.51048,51.1811,81.87945,
Chad,African Region,71.88391,53.691,83.49061,
Chad,African Region,67.03467,48.70779,80.15653,
Chile,Region of the Americas,31.28547,24.62833,38.20687,
Chile,Region of the Americas,36.2237,29.03652,43.43872,
Chile,Region of the Americas,26.21092,20.2271,32.67593,
China,Western Pacific Region,37.11755,30.45734,43.70316,
China,Western Pacific Region,41.69699,34.69289,48.36543,
China,Western Pacific Region,30.67679,24.679,36.97132,
Colombia,Region of the Americas,33.62528,24.2657,43.3959,
Colombia,Region of the Americas,34.66025,24.90935,44.71828,
Colombia,Region of the Americas,32.61301,23.645,42.08199,
Comoros,African Region,64.85231,46.57236,77.50852,
Comoros,African Region,68.25868,50.06011,80.30989,
Comoros,African Region,61.50814,43.37057,74.58076,
Congo,African Region,63.15462,46.04662,75.57989,
Congo,African Region,68.79196,52.4429,80.02658,
Congo,African Region,58.01793,40.63875,71.24347,
Costa Rica,Region of the Americas,37.48492,27.14541,47.65501,
Costa Rica,Region of the Americas,40.65935,29.86536,50.91812,
Costa Rica,Region of the Americas,33.85877,24.12991,43.82772,
Côte d'Ivoire,African Region,69.04693,51.93551,80.46506,
Côte d'Ivoire,African Region,70.2684,53.64919,81.1153,
Côte d'Ivoire,African Region,67.26966,49.46608,79.53365,
Croatia,European Region,24.82337,18.2629,32.10006,
Croatia,European Region,34.52494,26.42528,42.83479,
Croatia,European Region,15.77103,11.11014,21.39346,
Cuba,Region of the Americas,33.38987,25.26668,41.48095,
Cuba,Region of the Americas,36.93257,28.51545,45.21903,
Cuba,Region of the Americas,29.17238,21.48413,36.91799,
Cyprus,European Region,21.58554,15.91078,27.97897,
Cyprus,European Region,26.7097,20.36222,33.61775,
Cyprus,European Region,16.09383,11.26776,21.75717,
Czechia,European Region,25.9445,19.7182,32.63059,
Czechia,European Region,33.67633,26.40554,41.06786,
Czechia,European Region,18.08153,13.22605,23.62781,
Democratic People's Republic of Korea,South-East Asian Region,41.81345,29.55074,53.30941,
Democratic People's Republic of Korea,South-East Asian Region,53.79229,40.64581,64.74796,
Democratic People's Republic of Korea,South-East Asian Region,31.23852,20.76388,42.17921,
Democratic Republic of the Congo,African Region,61.75752,42.35755,76.49729,
Democratic Republic of the Congo,African Region,66.23569,46.90274,79.997,
Democratic Republic of the Congo,African Region,56.69235,37.65107,72.20963,
Denmark,European Region,21.39092,16.5078,26.60757,
Denmark,European Region,25.40307,19.96227,31.12124,
Denmark,European Region,17.35896,13.10575,21.96911,
Djibouti,Eastern Mediterranean Region,59.65961,41.10222,73.66359,
Djibouti,Eastern Mediterranean Region,62.03833,43.89873,75.49827,
Djibouti,Eastern Mediterranean Region,56.8964,37.9372,71.47868,
Dominican Republic,Region of the Americas,43.04623,29.71551,55.58472,
Dominican Republic,Region of the Americas,46.25152,32.397,58.85075,
Dominican Republic,Region of the Americas,39.43544,26.81334,51.75666,
Ecuador,Region of the Americas,38.33808,27.51233,49.02747,
Ecuador,Region of the Americas,40.23573,28.95645,51.20178,
Ecuador,Region of the Americas,36.34784,26.03171,46.68834,
Egypt,Eastern Mediterranean Region,54.98471,39.55935,67.51435,
Egypt,Eastern Mediterranean Region,61.0999,45.675,72.85359,
Egypt,Eastern Mediterranean Region,47.88264,33.02337,60.83732,
El Salvador,Region of the Americas,39.22706,26.98974,51.00211,
El Salvador,Region of the Americas,43.49239,30.18683,55.7232,
El Salvador,Region of the Americas,34.35296,23.54581,45.26098,
Equatorial Guinea,African Region,68.74093,48.02001,81.67854,
Equatorial Guinea,African Region,68.02792,47.96348,80.80645,
Equatorial Guinea,African Region,69.42876,48.07693,82.48159,
Eritrea,African Region,55.79961,38.58407,69.4517,
Eritrea,African Region,61.35951,43.97281,74.08323,
Eritrea,African Region,49.90808,33.34365,64.22598,
Estonia,European Region,25.71537,17.83338,33.79206,
Estonia,European Region,38.65193,28.47933,47.99737,
Estonia,European Region,14.82466,9.68158,20.64882,
Eswatini,African Region,59.12922,40.84509,72.44369,
Eswatini,African Region,72.14077,55.8957,82.2123,
Eswatini,African Region,42.16791,24.71144,57.93824,
Ethiopia,African Region,55.12887,41.87212,66.88792,
Ethiopia,African Region,57.46788,44.13229,68.9404,
Ethiopia,African Region,52.73367,39.62131,64.74094,
Fiji,Western Pacific Region,63.9272,52.97859,72.52756,
Fiji,Western Pacific Region,66.47632,56.209,74.55545,
Fiji,Western Pacific Region,60.85854,49.10783,70.068,
Finland,European Region,19.58306,15.17415,24.36862,
Finland,European Region,26.03498,20.75954,31.53827,
Finland,European Region,13.46125,10.03128,17.34916,
France,European Region,22.10101,17.27302,27.58878,
France,European Region,29.09107,23.32924,35.31617,
France,European Region,15.26605,11.55642,19.74335,
Gabon,African Region,54.52916,37.28118,68.32307,
Gabon,African Region,60.88228,44.32268,73.24013,
Gabon,African Region,46.45073,28.93249,61.80375,
Gambia,African Region,65.59104,47.29785,79.25498,
Gambia,African Region,67.10121,48.75185,80.29482,
Gambia,African Region,63.86892,45.69816,78.0524,
Georgia,European Region,32.62549,25.31012,39.82562,
Georgia,European Region,44.70024,36.24605,52.33473,
Georgia,European Region,20.39017,15.05393,26.19159,
Germany,European Region,23.76277,19.06227,28.82189,
Germany,European Region,26.90831,21.91688,32.184,
Germany,European Region,19.79237,15.5093,24.51744,
Ghana,African Region,66.3591,50.96419,77.36122,
Ghana,African Region,69.33443,54.02334,79.78859,
Ghana,African Region,62.84398,47.56218,74.35855,
Greece,European Region,19.80876,16.25153,23.75649,
Greece,European Region,25.64052,21.58848,30.04625,
Greece,European Region,13.60908,10.68923,16.9213,
Grenada,Region of the Americas,41.52358,32.93055,49.86964,
Grenada,Region of the Americas,45.95811,37.12174,54.3355,
Grenada,Region of the Americas,36.50339,28.32754,44.65457,
Guatemala,Region of the Americas,53.14368,41.47462,63.08813,
