0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,+100,Year
99141124,9633286,5249877,6266541,7051636,6911981,6292496,6073962,7440591,8936010,11511267,13675084,16634626,20425585,23108139,22311453,17476494,9989606,4033181,976339,138361,1981
98448588,9518774,5181542,6273026,7038289,6950636,6432209,6114034,7330424,8942842,11517559,13837153,16932479,20300290,23392401,22757852,17974480,10304415,4101356,1016164,146498,1982
98287002,9562906,5204839,6238308,7073090,6954780,6582934,6234576,7235693,9003437,11556819,14090744,17388868,20223367,23853780,23411324,18732427,10878466,4299419,1098714,160397,1983
97433506,9507394,5130373,6204338,7177606,6933750,6704624,6417547,7146450,9041128,11523334,14254237,17772314,20075516,24091045,23831636,19219934,11205671,4406857,1146595,168049,1984
96458643,9489933,5057581,6184000,7250296,6863463,6792257,6597762,7057845,9016415,11479451,14388099,18043816,20179682,24316735,24415001,19900164,11788493,4655933,1218499,179225,1985
95182417,9335303,4902447,6135852,7290679,6763870,6814770,6722687,6989047,8872789,11374513,14334867,18136493,20360647,24087835,24539663,20182398,12092496,4795019,1246422,187123,1986
93567652,9257964,4832234,6190490,7395789,6844430,6950124,6950607,7098233,8821544,11442820,14427811,18409508,20766068,23890789,24843617,20587181,12485896,4983941,1290738,205142,1987
93509177,9379537,4820828,6222069,7443923,6994287,7071491,7195275,7311418,8783654,11567574,14555942,18811625,21405852,23796209,25331885,21242806,13077630,5305753,1363384,226496,1988
90828036,9047872,4668101,6070184,7223607,6963243,6969537,7238178,7461625,8629369,11566428,14518454,18978414,21869210,23580936,25604138,21739953,13542251,5536544,1417356,243420,1989
89795540,9009224,4689003,6087548,7314431,7180648,7047222,7464655,7799823,8647420,11680913,14627748,19355582,22380332,23867141,25980713,22420719,14093603,5847526,1495223,259922,1990
88279978,9227285,4811460,6067349,7324436,7325756,7103988,7645615,8143866,8744595,11774718,14780957,19695490,22890016,24447265,26130219,23032884,14596613,6143789,1568801,271382,1991
85936863,9064318,4761380,6022348,7401116,7472731,7226515,7812246,8450183,8910056,11754734,14908677,19866118,23304204,25012252,25934805,23415672,14977438,6392143,1635654,276445,1992
83479767,8946959,4762045,5997098,7444802,7539766,7426134,8001117,8818303,9233631,11776638,15181380,20146909,24008669,25966106,25992893,24226918,15729805,6822329,1755596,287582,1993
81600343,8950811,4853322,6308304,7847654,7952474,8010480,8470995,9401949,9841839,11885610,15532206,20379672,24603605,26834923,25926836,24724073,16220152,7091687,1828051,291830,1994
79821445,8868687,4735823,5929111,7401845,7598041,7742439,8128334,9290795,10083740,11690273,15517990,20285067,24912694,27417406,26197450,25050994,16806882,7441322,1949515,306858,1995
