coa_name,Iso3,year,perc
Kazakhstan,KAZ,2000,0.03647878
Jordan,JOR,2000,0.02244039
Dem. People's Rep. of Korea,PRK,2000,0.06007218
Republic of Korea,KOR,2000,0.00648781
Kuwait,KWT,2000,0.01059311
Kyrgyzstan,KGZ,2000,0.04236831
Lao People's Dem. Republic,LAO,2000,0.07656841
Lebanon,LBN,2000,0.01698317
"China, Macao SAR",MAC,2000,0.00559967
Malaysia,MYS,2000,0.00871213
Maldives,MDV,2000,0.03159239
Mongolia,MNG,2000,0.04904313
Oman,OMN,2000,0.01398016
Nepal,NPL,2000,0.05864997
Pakistan,PAK,2000,0.08530304
Philippines,PHL,2000,0.03084773
Timor-Leste,TLS,2000,0.07699086
Qatar,QAT,2000,0.01068384
Saudi Arabia,SAU,2000,0.01849329
Singapore,SGP,2000,0.00308296
Viet Nam,VNM,2000,0.02291922
Syrian Arab Republic,SYR,2000,0.01928693
Tajikistan,TJK,2000,0.06771597
Thailand,THA,2000,0.01841564
United Arab Emirates,ARE,2000,0.0095239
Türkiye,TUR,2000,0.03083419
Turkmenistan,TKM,2000,0.05749941
Uzbekistan,UZB,2000,0.05081943
Yemen,YEM,2000,0.06868516
Small island developing States (SIDS),SID,2000,0.0413482
Landlocked developing countries (LLDCs),LLD,2000,0.08376437
Albania,ALB,2000,0.02394471
Andorra,AND,2000,0.00744073
Austria,AUT,2000,0.00477398
Belgium,BEL,2000,0.00484873
Bosnia and Herzegovina,BIH,2000,0.00872641
Bulgaria,BGR,2000,0.01361542
Belarus,BLR,2000,0.01011232
Croatia,HRV,2000,0.0067771
Czechia,CZE,2000,0.00416244
Denmark,DNK,2000,0.00535941
Estonia,EST,2000,0.01001836
Faroe Islands,FRO,2000,0.00452505
Finland,FIN,2000,0.00369106
France,FRA,2000,0.00457806
Germany,DEU,2000,0.00435157
Gibraltar,GIB,2000,0.0105868
Greece,GRC,2000,0.0056687
Hungary,HUN,2000,0.00936692
Iceland,ISL,2000,0.00383624
Ireland,IRL,2000,0.00622121
Italy,ITA,2000,0.00453559
Kosovo (under UNSC res. 1244),XKX,2000,0.0207349
Latvia,LVA,2000,0.01172381
Liechtenstein,LIE,2000,0.01235485
Lithuania,LTU,2000,0.00944174
Luxembourg,LUX,2000,0.0070403
Malta,MLT,2000,0.00957842
Monaco,MCO,2000,0.00716635
Republic of Moldova,MDA,2000,0.02608637
Montenegro,MNE,2000,0.01129242
Netherlands,NLD,2000,0.00515111
Norway,NOR,2000,0.00377063
Poland,POL,2000,0.00801568
Portugal,PRT,2000,0.00574562
Romania,ROU,2000,0.01896574
Russian Federation,RUS,2000,0.01591562
San Marino,SMR,2000,0.00748826
Serbia,SRB,2000,0.01098286
Slovakia,SVK,2000,0.00850543
Slovenia,SVN,2000,0.00530235
Spain,ESP,2000,0.00441259
Sweden,SWE,2000,0.00345209
Switzerland,CHE,2000,0.00493319
Ukraine,UKR,2000,0.01314781
North Macedonia,MKD,2000,0.01268277
United Kingdom,GBR,2000,0.00552641
Guernsey,GGY,2000,0.00871287
Jersey,JEY,2000,0.0098269
Isle of Man,IMN,2000,0.01990481
Small island developing States (SIDS),SID,2000,0.0413482
Landlocked developing countries (LLDCs),LLD,2000,0.08376437
