Location,Year,Alcohol,Tobacco,Lifeexpectancy,Population,Continent
Barbados,2019,9.5,6.6,77.3,280193.0,North-America
Barbados,2019,9.5,6.6,77.3,280193.0,North-America
Barbados,2019,9.5,5.4,77.3,280193.0,North-America
United States of America,2019,9.6,23.7,,,
United States of America,2019,9.6,20.2,,,
United States of America,2019,9.6,16.2,,,
Burkina Faso,2019,9.8,14.2,60.0,20951638.0,Africa
Burkina Faso,2019,9.8,10.5,60.0,20951638.0,Africa
Burkina Faso,2019,9.8,8.4,60.0,20951638.0,Africa
Canada,2019,9.9,12.4,82.4,37522584.0,North-America
Canada,2019,9.9,12.4,82.4,37522584.0,North-America
Canada,2019,9.9,11.7,82.4,37522584.0,North-America
New Zealand,2019,9.9,12.5,82.6,4959033.0,Oceania
New Zealand,2019,9.9,12.5,82.6,4959033.0,Oceania
New Zealand,2019,9.9,11.9,82.6,4959033.0,Oceania
Kuwait,2015,0.0,24.8,79.6,3908745.0,Asia
Kuwait,2015,0.0,24.8,79.6,3908745.0,Asia
Kuwait,2015,0.0,18.5,79.6,3908745.0,Asia
Mauritania,2015,0.0,12.0,64.5,3946225.0,Africa
Mauritania,2015,0.0,9.0,64.5,3946225.0,Africa
Mauritania,2015,0.0,8.2,64.5,3946225.0,Africa
Saudi Arabia,2015,0.0,17.5,76.9,32749838.0,Asia
Saudi Arabia,2015,0.0,16.0,76.9,32749838.0,Asia
Saudi Arabia,2015,0.0,12.2,76.9,32749838.0,Asia
Somalia,2015,0.0,,54.9,13763909.0,Africa
Afghanistan,2015,0.0,25.8,62.7,33753500.0,Asia
Afghanistan,2015,0.0,12.0,62.7,33753500.0,Asia
Afghanistan,2015,0.0,9.7,62.7,33753500.0,Asia
Bangladesh,2015,0.0,35.9,70.5,157830000.0,Asia
Bangladesh,2015,0.0,20.0,70.5,157830000.0,Asia
Bangladesh,2015,0.0,15.4,70.5,157830000.0,Asia
Libya,2015,0.0,,71.7,6192241.0,Africa
Yemen,2015,0.0,22.6,65.9,28516552.0,Asia
Yemen,2015,0.0,18.2,65.9,28516552.0,Asia
Yemen,2015,0.0,12.8,65.9,28516552.0,Asia
Indonesia,2015,0.1,37.2,69.7,259091968.0,Asia
Indonesia,2015,0.1,35.1,69.7,259091968.0,Asia
Indonesia,2015,0.1,31.7,69.7,259091968.0,Asia
Pakistan,2015,0.1,21.3,65.7,210969296.0,Asia
Pakistan,2015,0.1,14.3,65.7,210969296.0,Asia
Pakistan,2015,0.1,11.3,65.7,210969296.0,Asia
Sudan,2015,0.2,,64.7,38171172.0,Africa
Egypt,2015,0.2,22.5,70.5,97723792.0,Africa
Egypt,2015,0.2,22.5,70.5,97723792.0,Africa
Egypt,2015,0.2,17.5,70.5,97723792.0,Africa
Niger,2015,0.2,8.2,61.1,20128132.0,Africa
Niger,2015,0.2,6.8,61.1,20128132.0,Africa
Niger,2015,0.2,5.9,61.1,20128132.0,Africa
Comoros,2015,0.2,20.8,62.9,730221.0,Africa
Comoros,2015,0.2,13.4,62.9,730221.0,Africa
Comoros,2015,0.2,10.7,62.9,730221.0,Africa
Iraq,2015,0.2,18.6,69.4,37757812.0,Asia
Iraq,2015,0.2,18.6,69.4,37757812.0,Asia
Iraq,2015,0.2,13.9,69.4,37757812.0,Asia
Sierra Leone,2015,0.3,16.1,57.2,7314779.0,Africa
Sierra Leone,2015,0.3,14.4,57.2,7314779.0,Africa
Sierra Leone,2015,0.3,12.6,57.2,7314779.0,Africa
Syrian Arab Republic,2015,0.3,,,,
Bhutan,2015,0.3,23.0,70.3,743284.0,Asia
Bhutan,2015,0.3,8.9,70.3,743284.0,Asia
Bhutan,2015,0.3,6.2,70.3,743284.0,Asia
Jordan,2015,0.4,35.2,75.0,9494250.0,Asia
Jordan,2015,0.4,35.2,75.0,9494250.0,Asia
Jordan,2015,0.4,27.1,75.0,9494250.0,Asia
Senegal,2015,0.4,7.6,66.9,14356191.0,Africa
Senegal,2015,0.4,7.2,66.9,14356191.0,Africa
Senegal,2015,0.4,6.0,66.9,14356191.0,Africa
Iran (Islamic Republic of),2015,0.4,15.4,,,
Iran (Islamic Republic of),2015,0.4,11.1,,,
Iran (Islamic Republic of),2015,0.4,9.2,,,
Morocco,2015,0.4,15.2,72.9,34680456.0,Africa
Morocco,2015,0.4,15.2,72.9,34680456.0,Africa
Morocco,2015,0.4,12.5,72.9,34680456.0,Africa
Tonga,2015,0.4,31.3,70.6,106140.0,Oceania
Tonga,2015,0.4,31.3,70.6,106140.0,Oceania
Tonga,2015,0.4,27.1,70.6,106140.0,Oceania
Brunei Darussalam,2015,0.4,17.5,,,
Brunei Darussalam,2015,0.4,17.5,,,
Brunei Darussalam,2015,0.4,14.6,,,
Guinea,2015,0.5,,58.1,11626003.0,Africa
Timor-Leste,2015,0.5,41.3,,,
Timor-Leste,2015,0.5,33.4,,,
Timor-Leste,2015,0.5,32.8,,,
Djibouti,2015,0.5,,62.0,1006266.0,Africa
Algeria,2015,0.6,22.0,75.6,39543148.0,Africa
Algeria,2015,0.6,16.1,75.6,39543148.0,Africa
Algeria,2015,0.6,14.7,75.6,39543148.0,Africa
Malaysia,2015,0.7,24.9,75.1,31068834.0,Asia
Malaysia,2015,0.7,23.4,75.1,31068834.0,Asia
Malaysia,2015,0.7,20.3,75.1,31068834.0,Asia
Kiribati,2015,0.7,44.5,66.1,116717.0,Oceania
Kiribati,2015,0.7,44.5,66.1,116717.0,Oceania
Kiribati,2015,0.7,37.1,66.1,116717.0,Oceania
Oman,2015,0.8,11.2,77.7,4191784.0,Asia
Oman,2015,0.8,10.0,77.7,4191784.0,Asia
Oman,2015,0.8,8.4,77.7,4191784.0,Asia
Tajikistan,2015,0.9,,69.3,8524066.0,Asia
Madagascar,2015,1.0,30.5,64.3,24850912.0,Africa
Madagascar,2015,1.0,17.3,64.3,24850912.0,Africa
Madagascar,2015,1.0,14.7,64.3,24850912.0,Africa
Solomon Islands,2015,1.1,39.2,69.6,612670.0,Oceania
Solomon Islands,2015,1.1,39.2,69.6,612670.0,Oceania
Solomon Islands,2015,1.1,32.3,69.6,612670.0,Oceania
Nepal,2015,1.2,31.7,67.5,27610328.0,Asia
Nepal,2015,1.2,18.7,67.5,27610328.0,Asia
Nepal,2015,1.2,16.7,67.5,27610328.0,Asia
Qatar,2015,1.2,19.3,80.1,2414580.0,Asia
Qatar,2015,1.2,16.8,80.1,2414580.0,Asia
Qatar,2015,1.2,14.0,80.1,2414580.0,Asia
Eritrea,2015,1.3,,66.0,3340005.0,Africa
Maldives,2015,1.4,33.9,79.7,435590.0,Asia
Maldives,2015,1.4,30.9,79.7,435590.0,Asia
Maldives,2015,1.4,25.1,79.7,435590.0,Asia
Azerbaijan,2015,1.4,21.1,71.5,9863485.0,Asia
Azerbaijan,2015,1.4,21.1,71.5,9863485.0,Asia
Azerbaijan,2015,1.4,16.5,71.5,9863485.0,Asia
Rwanda,2015,1.4,13.7,65.3,11642963.0,Africa
Rwanda,2015,1.4,10.2,65.3,11642963.0,Africa
Rwanda,2015,1.4,5.9,65.3,11642963.0,Africa
Lebanon,2015,1.5,34.2,79.2,6398941.0,Asia
Lebanon,2015,1.5,34.2,79.2,6398941.0,Asia
Lebanon,2015,1.5,27.0,79.2,6398941.0,Asia
Myanmar,2015,1.6,48.7,65.6,51483956.0,Asia
Myanmar,2015,1.6,23.5,65.6,51483956.0,Asia
Myanmar,2015,1.6,17.7,65.6,51483956.0,Asia
Guatemala,2015,1.6,12.5,72.1,16001105.0,North-America
Guatemala,2015,1.6,12.5,72.1,16001105.0,North-America
Guatemala,2015,1.6,10.8,72.1,16001105.0,North-America
Vanuatu,2015,1.7,,69.5,276450.0,Oceania
Papua New Guinea,2015,1.7,44.6,64.7,8682172.0,Oceania
Papua New Guinea,2015,1.7,44.6,64.7,8682172.0,Oceania
Papua New Guinea,2015,1.7,32.9,64.7,8682172.0,Oceania
Togo,2015,1.7,7.2,59.4,7473232.0,Africa
Togo,2015,1.7,5.9,59.4,7473232.0,Africa
Togo,2015,1.7,4.6,59.4,7473232.0,Africa
Mozambique,2015,1.8,,58.2,26843252.0,Africa
Bahrain,2015,1.9,20.5,79.4,1362157.0,Asia
Bahrain,2015,1.9,20.5,79.4,1362157.0,Asia
Bahrain,2015,1.9,15.4,79.4,1362157.0,Asia
Singapore,2015,1.9,16.8,82.8,5650020.0,Asia
Singapore,2015,1.9,16.8,82.8,5650020.0,Asia
Singapore,2015,1.9,14.9,82.8,5650020.0,Asia
Türkiye,2015,1.9,31.9,,,
Türkiye,2015,1.9,31.9,,,
Türkiye,2015,1.9,30.0,,,
Tuvalu,2015,1.9,38.0,64.1,10896.0,Oceania
Tuvalu,2015,1.9,38.0,64.1,10896.0,Oceania
Tuvalu,2015,1.9,31.1,64.1,10896.0,Oceania
Central African Republic,2015,1.9,,52.8,4819341.0,Africa
Slovakia,2015,10.3,30.2,76.6,5424449.0,Europe
Slovakia,2015,10.3,30.2,76.6,5424449.0,Europe
Slovakia,2015,10.3,25.3,76.6,5424449.0,Europe
Australia,2015,10.4,15.4,82.7,23820240.0,Oceania
Australia,2015,10.4,15.4,82.7,23820240.0,Oceania
Australia,2015,10.4,12.5,82.7,23820240.0,Oceania
Cook Islands,2015,10.5,29.7,74.2,17720.0,Oceania
Cook Islands,2015,10.5,29.7,74.2,17720.0,Oceania
Cook Islands,2015,10.5,23.1,74.2,17720.0,Oceania
Portugal,2015,10.5,21.6,81.2,10365436.0,Europe
Portugal,2015,10.5,21.6,81.2,10365436.0,Europe
Portugal,2015,10.5,19.2,81.2,10365436.0,Europe
United Kingdom of Great Britain and Northern Ireland,2015,10.5,18.0,,,
United Kingdom of Great Britain and Northern Ireland,2015,10.5,18.0,,,
United Kingdom of Great Britain and Northern Ireland,2015,10.5,15.7,,,
Cameroon,2015,10.7,7.2,59.7,23012650.0,Africa
Cameroon,2015,10.7,5.7,59.7,23012650.0,Africa
Cameroon,2015,10.7,5.6,59.7,23012650.0,Africa
Hungary,2015,10.7,31.0,75.7,9844250.0,Europe
Hungary,2015,10.7,31.0,75.7,9844250.0,Europe
Hungary,2015,10.7,28.7,75.7,9844250.0,Europe
Switzerland,2015,10.7,24.5,82.8,8281735.0,Europe
Switzerland,2015,10.7,24.5,82.8,8281735.0,Europe
Switzerland,2015,10.7,21.3,82.8,8281735.0,Europe
Andorra,2015,10.8,34.1,83.0,71766.0,Europe
Andorra,2015,10.8,34.1,83.0,71766.0,Europe
Andorra,2015,10.8,27.9,83.0,71766.0,Europe
Belarus,2015,11.0,31.2,74.0,9700609.0,Europe
Belarus,2015,11.0,26.8,74.0,9700609.0,Europe
Belarus,2015,11.0,25.2,74.0,9700609.0,Europe
Belgium,2015,11.2,26.2,80.9,11248306.0,Europe
Belgium,2015,11.2,24.3,80.9,11248306.0,Europe
Belgium,2015,11.2,22.8,80.9,11248306.0,Europe
Republic of Moldova,2015,11.3,26.4,,,
Republic of Moldova,2015,11.3,24.9,,,
Republic of Moldova,2015,11.3,23.0,,,
Lao People's Democratic Republic,2015,11.3,30.4,,,
Lao People's Democratic Republic,2015,11.3,27.7,,,
Lao People's Democratic Republic,2015,11.3,23.8,,,
Bulgaria,2015,11.4,36.5,74.6,7309255.0,Europe
Bulgaria,2015,11.4,36.5,74.6,7309255.0,Europe
Bulgaria,2015,11.4,33.4,74.6,7309255.0,Europe
Poland,2015,11.5,27.2,77.4,38553148.0,Europe
Poland,2015,11.5,27.2,77.4,38553148.0,Europe
Poland,2015,11.5,25.4,77.4,38553148.0,Europe
United Republic of Tanzania,2015,11.6,10.7,,,
United Republic of Tanzania,2015,11.6,8.9,,,
United Republic of Tanzania,2015,11.6,7.5,,,
Latvia,2015,11.6,33.3,74.7,1991951.0,Europe
Latvia,2015,11.6,30.3,74.7,1991951.0,Europe
Latvia,2015,11.6,27.4,74.7,1991951.0,Europe
Russian Federation,2015,11.6,28.1,,,
Russian Federation,2015,11.6,28.1,,,
Russian Federation,2015,11.6,27.7,,,
Slovenia,2015,11.6,20.0,80.8,2080865.0,Europe
Slovenia,2015,11.6,20.0,80.8,2080865.0,Europe
Slovenia,2015,11.6,18.6,80.8,2080865.0,Europe
France,2015,11.7,29.9,82.2,63809768.0,Europe
France,2015,11.7,29.9,82.2,63809768.0,Europe
France,2015,11.7,27.0,82.2,63809768.0,Europe
Ireland,2015,11.7,22.5,81.4,4665764.0,Europe
Ireland,2015,11.7,22.5,81.4,4665764.0,Europe
Ireland,2015,11.7,20.8,81.4,4665764.0,Europe
Luxembourg,2015,11.7,23.8,81.8,569415.0,Europe
Luxembourg,2015,11.7,23.8,81.8,569415.0,Europe
Luxembourg,2015,11.7,21.2,81.8,569415.0,Europe
Seychelles,2015,12.0,23.4,73.7,99260.0,Africa
Seychelles,2015,12.0,22.1,73.7,99260.0,Africa
Seychelles,2015,12.0,19.2,73.7,99260.0,Africa
Germany,2015,12.1,22.6,80.6,82073232.0,Europe
Germany,2015,12.1,22.6,80.6,82073232.0,Europe
Germany,2015,12.1,20.5,80.6,82073232.0,Europe
Austria,2015,12.2,28.6,81.2,8642422.0,Europe
Austria,2015,12.2,28.6,81.2,8642422.0,Europe
Austria,2015,12.2,26.6,81.2,8642422.0,Europe
Czechia,2015,13.2,29.2,78.6,10523801.0,Europe
Czechia,2015,13.2,29.2,78.6,10523801.0,Europe
Czechia,2015,13.2,24.9,78.6,10523801.0,Europe
Uganda,2015,13.3,7.6,61.1,37477356.0,Africa
Uganda,2015,13.3,5.9,61.1,37477356.0,Africa
Uganda,2015,13.3,5.0,61.1,37477356.0,Africa
Georgia,2015,13.9,29.2,73.3,3771135.0,Asia
Georgia,2015,13.9,29.2,73.3,3771135.0,Asia
Georgia,2015,13.9,26.4,73.3,3771135.0,Asia
Lithuania,2015,14.2,31.0,74.6,2963764.0,Europe
Lithuania,2015,14.2,26.8,74.6,2963764.0,Europe
Lithuania,2015,14.2,24.4,74.6,2963764.0,Europe
Estonia,2015,15.1,30.3,77.7,1314658.0,Europe
Estonia,2015,15.1,27.2,77.7,1314658.0,Europe
Estonia,2015,15.1,24.7,77.7,1314658.0,Europe
Romania,2015,16.9,29.7,74.8,19906078.0,Europe
Romania,2015,16.9,29.3,74.8,19906078.0,Europe
Romania,2015,16.9,26.6,74.8,19906078.0,Europe
Tunisia,2015,2.0,22.7,75.7,11557779.0,Africa
Tunisia,2015,2.0,22.7,75.7,11557779.0,Africa
Tunisia,2015,2.0,21.2,75.7,11557779.0,Africa
Gambia,2015,2.1,12.1,62.5,2253137.0,Africa
Gambia,2015,2.1,11.5,62.5,2253137.0,Africa
Gambia,2015,2.1,9.7,62.5,2253137.0,Africa
Micronesia (Federated States of),2015,2.1,,,,
Samoa,2015,2.2,26.8,72.5,203586.0,Oceania
Samoa,2015,2.2,26.5,72.5,203586.0,Oceania
Samoa,2015,2.2,22.2,72.5,203586.0,Oceania
Democratic Republic of the Congo,2015,2.4,13.1,,,
Democratic Republic of the Congo,2015,2.4,9.4,,,
Democratic Republic of the Congo,2015,2.4,8.6,,,
United Arab Emirates,2015,2.4,15.5,79.2,8916909.0,Asia
United Arab Emirates,2015,2.4,15.5,79.2,8916909.0,Asia
United Arab Emirates,2015,2.4,11.5,79.2,8916909.0,Asia
Ethiopia,2015,2.5,4.8,63.6,102471896.0,Africa
Ethiopia,2015,2.5,3.3,63.6,102471896.0,Africa
Ethiopia,2015,2.5,2.8,63.6,102471896.0,Africa
Uzbekistan,2015,2.5,18.5,70.5,30949416.0,Asia
Uzbekistan,2015,2.5,11.5,70.5,30949416.0,Asia
Uzbekistan,2015,2.5,9.7,70.5,30949416.0,Asia
Côte d’Ivoire,2015,2.6,11.2,,,
Côte d’Ivoire,2015,2.6,11.0,,,
Côte d’Ivoire,2015,2.6,10.6,,,
Kenya,2015,2.8,10.9,61.9,46851496.0,Africa
Kenya,2015,2.8,9.3,61.9,46851496.0,Africa
Kenya,2015,2.8,7.9,61.9,46851496.0,Africa
Honduras,2015,2.9,13.5,72.5,9294510.0,North-America
Honduras,2015,2.9,13.5,72.5,9294510.0,North-America
Honduras,2015,2.9,12.2,72.5,9294510.0,North-America
Sri Lanka,2015,2.9,21.6,74.9,21336692.0,Asia
Sri Lanka,2015,2.9,10.6,74.9,21336692.0,Asia
Sri Lanka,2015,2.9,7.1,74.9,21336692.0,Asia
El Salvador,2015,2.9,9.7,71.8,6231072.0,North-America
El Salvador,2015,2.9,9.7,71.8,6231072.0,North-America
El Salvador,2015,2.9,8.4,71.8,6231072.0,North-America
Israel,2015,2.9,22.6,82.1,8007777.0,Asia
Israel,2015,2.9,22.6,82.1,8007777.0,Asia
Israel,2015,2.9,20.4,82.1,8007777.0,Asia
Nauru,2015,2.9,54.0,62.3,11207.0,Oceania
Nauru,2015,2.9,50.2,62.3,11207.0,Oceania
Nauru,2015,2.9,39.9,62.3,11207.0,Oceania
Fiji,2015,3.1,28.8,66.8,917209.0,Oceania
Fiji,2015,3.1,28.8,66.8,917209.0,Oceania
Fiji,2015,3.1,24.8,66.8,917209.0,Oceania
Haiti,2015,3.2,7.9,63.2,10563762.0,North-America
Haiti,2015,3.2,7.9,63.2,10563762.0,North-America
Haiti,2015,3.2,6.9,63.2,10563762.0,North-America
Turkmenistan,2015,3.2,7.1,68.8,5766427.0,Asia
Turkmenistan,2015,3.2,6.5,68.8,5766427.0,Asia
Turkmenistan,2015,3.2,5.7,68.8,5766427.0,Asia
Lesotho,2015,3.3,24.1,51.1,2118532.0,Africa
Lesotho,2015,3.3,19.4,51.1,2118532.0,Africa
Lesotho,2015,3.3,16.7,51.1,2118532.0,Africa
Malawi,2015,3.4,9.6,61.4,16938944.0,Africa
Malawi,2015,3.4,8.4,61.4,16938944.0,Africa
Malawi,2015,3.4,6.9,61.4,16938944.0,Africa
Jamaica,2015,3.4,11.2,72.4,2794455.0,North-America
Jamaica,2015,3.4,11.2,72.4,2794455.0,North-America
Jamaica,2015,3.4,9.9,72.4,2794455.0,North-America
Costa Rica,2015,3.5,10.9,79.1,4895241.0,North-America
Costa Rica,2015,3.5,10.9,79.1,4895241.0,North-America
Costa Rica,2015,3.5,9.7,79.1,4895241.0,North-America
Liberia,2015,3.6,8.8,59.1,4612330.0,Africa
Liberia,2015,3.6,7.3,59.1,4612330.0,Africa
Liberia,2015,3.6,6.1,59.1,4612330.0,Africa
Zambia,2015,3.7,12.7,61.2,16248231.0,Africa
Zambia,2015,3.7,11.3,61.2,16248231.0,Africa
Zambia,2015,3.7,9.9,61.2,16248231.0,Africa
Zimbabwe,2015,3.7,10.8,59.6,14154937.0,Africa
Zimbabwe,2015,3.7,10.3,59.6,14154937.0,Africa
Zimbabwe,2015,3.7,8.5,59.6,14154937.0,Africa
Ecuador,2015,3.8,11.1,76.8,16195904.0,South-America
Ecuador,2015,3.8,11.1,76.8,16195904.0,South-America
Ecuador,2015,3.8,9.6,76.8,16195904.0,South-America
Guinea-Bissau,2015,4.0,9.8,59.1,1788931.0,Africa
Guinea-Bissau,2015,4.0,9.1,59.1,1788931.0,Africa
Guinea-Bissau,2015,4.0,7.5,59.1,1788931.0,Africa
Nicaragua,2015,4.1,,73.0,6298610.0,North-America
Burundi,2015,4.2,12.7,60.2,10727153.0,Africa
Burundi,2015,4.2,8.9,60.2,10727153.0,Africa
Burundi,2015,4.2,7.0,60.2,10727153.0,Africa
Kazakhstan,2015,4.2,24.7,70.7,17835908.0,Asia
Kazakhstan,2015,4.2,23.9,70.7,17835908.0,Asia
Kazakhstan,2015,4.2,22.3,70.7,17835908.0,Asia
Bolivia (Plurinational State of),2015,4.3,16.3,,,
Bolivia (Plurinational State of),2015,4.3,16.3,,,
Bolivia (Plurinational State of),2015,4.3,13.7,,,
The former Yugoslav Republic of Macedonia,2015,4.3,,,,
Bahamas,2015,4.4,11.0,73.1,392707.0,North-America
Bahamas,2015,4.4,11.0,73.1,392707.0,North-America
Bahamas,2015,4.4,8.8,73.1,392707.0,North-America
Nigeria,2015,4.4,4.2,51.8,183995776.0,Africa
Nigeria,2015,4.4,3.7,51.8,183995776.0,Africa
Nigeria,2015,4.4,3.1,51.8,183995776.0,Africa
Democratic People's Republic of Korea,2015,4.4,19.8,,,
Democratic People's Republic of Korea,2015,4.4,19.8,,,
Democratic People's Republic of Korea,2015,4.4,17.2,,,
Chad,2015,4.6,7.7,51.6,14140277.0,Africa
Chad,2015,4.6,7.7,51.6,14140277.0,Africa
Chad,2015,4.6,5.6,51.6,14140277.0,Africa
Mali,2015,4.6,9.5,58.4,18112910.0,Africa
Mali,2015,4.6,7.8,58.4,18112910.0,Africa
Mali,2015,4.6,6.9,58.4,18112910.0,Africa
Ghana,2015,5.0,3.8,63.2,28870946.0,Africa
Ghana,2015,5.0,2.8,63.2,28870946.0,Africa
Ghana,2015,5.0,2.3,63.2,28870946.0,Africa
India,2015,5.0,30.1,69.6,1322866560.0,Asia
India,2015,5.0,10.8,69.6,1322866560.0,Asia
India,2015,5.0,7.0,69.6,1322866560.0,Asia
Armenia,2015,5.0,24.1,74.4,2878598.0,Asia
Armenia,2015,5.0,24.1,74.4,2878598.0,Asia
Armenia,2015,5.0,23.6,74.4,2878598.0,Asia
Colombia,2015,5.0,9.8,76.3,47119728.0,South-America
Colombia,2015,5.0,9.8,76.3,47119728.0,South-America
Colombia,2015,5.0,8.5,76.3,47119728.0,South-America
Albania,2015,5.0,25.6,78.6,2882482.0,Europe
Albania,2015,5.0,25.6,78.6,2882482.0,Europe
Albania,2015,5.0,21.8,78.6,2882482.0,Europe
Mexico,2015,5.2,16.7,74.7,120149896.0,North-America
Mexico,2015,5.2,16.7,74.7,120149896.0,North-America
Mexico,2015,5.2,15.4,74.7,120149896.0,North-America
Paraguay,2015,5.4,14.3,73.2,6177954.0,South-America
Paraguay,2015,5.4,14.3,73.2,6177954.0,South-America
Paraguay,2015,5.4,11.7,73.2,6177954.0,South-America
Congo,2015,5.7,13.4,63.2,5064390.0,Africa
Congo,2015,5.7,12.7,63.2,5064390.0,Africa
Congo,2015,5.7,9.6,63.2,5064390.0,Africa
Suriname,2015,5.7,,70.8,575478.0,South-America
Guyana,2015,5.7,14.3,68.2,755043.0,South-America
Guyana,2015,5.7,14.3,68.2,755043.0,South-America
Guyana,2015,5.7,12.3,68.2,755043.0,South-America
Cabo Verde,2015,5.8,12.5,,,
Cabo Verde,2015,5.8,8.6,,,
Cabo Verde,2015,5.8,6.4,,,
Cuba,2015,5.9,23.6,77.8,11339888.0,North-America
Cuba,2015,5.9,23.6,77.8,11339888.0,North-America
Cuba,2015,5.9,20.6,77.8,11339888.0,North-America
Philippines,2015,5.9,24.1,71.3,103031360.0,Asia
Philippines,2015,5.9,24.1,71.3,103031360.0,Asia
Philippines,2015,5.9,22.3,71.3,103031360.0,Asia
Sao Tome and Principe,2015,5.9,6.7,67.2,201142.0,Africa
Sao Tome and Principe,2015,5.9,5.1,67.2,201142.0,Africa
Sao Tome and Principe,2015,5.9,3.5,67.2,201142.0,Africa
Bosnia and Herzegovina,2015,6.0,37.8,76.2,3524328.0,Europe
Bosnia and Herzegovina,2015,6.0,37.8,76.2,3524328.0,Europe
Bosnia and Herzegovina,2015,6.0,30.6,76.2,3524328.0,Europe
Namibia,2015,6.0,14.7,60.7,2282709.0,Africa
Namibia,2015,6.0,12.8,60.7,2282709.0,Africa
Namibia,2015,6.0,12.3,60.7,2282709.0,Africa
Uruguay,2015,6.0,23.0,77.5,3402820.0,South-America
Uruguay,2015,6.0,23.0,77.5,3402820.0,South-America
Uruguay,2015,6.0,21.2,77.5,3402820.0,South-America
Saint Kitts and Nevis,2015,6.1,,70.8,47814.0,North-America
Venezuela (Bolivarian Republic of),2015,6.1,,,,
Trinidad and Tobago,2015,6.2,,74.5,1460180.0,North-America
Kyrgyzstan,2015,6.2,27.1,70.0,5914985.0,Asia
Kyrgyzstan,2015,6.2,25.9,70.0,5914985.0,Asia
Kyrgyzstan,2015,6.2,22.7,70.0,5914985.0,Asia
Dominica,2015,6.3,,68.7,70027.0,North-America
Belize,2015,6.3,9.9,73.2,359884.0,North-America
Belize,2015,6.3,9.9,73.2,359884.0,North-America
Belize,2015,6.3,8.5,73.2,359884.0,North-America
Dominican Republic,2015,6.6,11.8,73.0,10405832.0,North-America
Dominican Republic,2015,6.6,10.7,73.0,10405832.0,North-America
Dominican Republic,2015,6.6,7.8,73.0,10405832.0,North-America
Panama,2015,6.6,7.0,77.5,3957102.0,North-America
Panama,2015,6.6,6.6,77.5,3957102.0,North-America
Panama,2015,6.6,5.8,77.5,3957102.0,North-America
Japan,2015,6.7,20.4,83.9,127250936.0,Asia
Japan,2015,6.7,20.4,83.9,127250936.0,Asia
Japan,2015,6.7,19.7,83.9,127250936.0,Asia
Norway,2015,6.8,20.3,82.3,5190357.0,Europe
Norway,2015,6.8,20.3,82.3,5190357.0,Europe
Norway,2015,6.8,15.5,82.3,5190357.0,Europe
Saint Vincent and the Grenadines,2015,7.0,,74.4,106493.0,North-America
Cambodia,2015,7.1,20.0,69.9,15417527.0,Asia
Cambodia,2015,7.1,17.1,69.9,15417527.0,Asia
Cambodia,2015,7.1,16.4,69.9,15417527.0,Asia
Botswana,2015,7.1,20.8,63.8,2305177.0,Africa
Botswana,2015,7.1,16.0,63.8,2305177.0,Africa
Botswana,2015,7.1,13.6,63.8,2305177.0,Africa
China,2015,7.3,25.7,77.0,1393715456.0,Asia
China,2015,7.3,25.7,77.0,1393715456.0,Asia
China,2015,7.3,25.6,77.0,1393715456.0,Asia
Antigua and Barbuda,2015,7.4,,77.9,89958.0,North-America
Mauritius,2015,7.4,21.7,75.0,1293159.0,Africa
Mauritius,2015,7.4,21.7,75.0,1293159.0,Africa
Mauritius,2015,7.4,19.5,75.0,1293159.0,Africa
Greece,2015,7.5,35.5,80.7,10806644.0,Europe
Greece,2015,7.5,35.5,80.7,10806644.0,Europe
Greece,2015,7.5,32.4,80.7,10806644.0,Europe
Peru,2015,7.5,11.5,75.6,30711864.0,South-America
Peru,2015,7.5,11.5,75.6,30711864.0,South-America
Peru,2015,7.5,10.5,75.6,30711864.0,South-America
Malta,2015,7.7,25.0,83.0,456585.0,Europe
Malta,2015,7.7,25.0,83.0,456585.0,Europe
Malta,2015,7.7,22.6,83.0,456585.0,Europe
Eswatini,2015,7.7,9.0,55.0,1133941.0,Africa
Eswatini,2015,7.7,7.7,55.0,1133941.0,Africa
Eswatini,2015,7.7,6.9,55.0,1133941.0,Africa
Italy,2015,7.7,21.9,82.5,60232908.0,Europe
Italy,2015,7.7,21.9,82.5,60232908.0,Europe
Italy,2015,7.7,21.2,82.5,60232908.0,Europe
Grenada,2015,7.8,,75.0,118994.0,North-America
Angola,2015,7.8,,60.7,28127724.0,Africa
Serbia,2015,7.8,38.3,75.8,7519501.0,Europe
Serbia,2015,7.8,38.3,75.8,7519501.0,Europe
Serbia,2015,7.8,35.4,75.8,7519501.0,Europe
Chile,2015,7.8,33.1,79.7,17870122.0,South-America
Chile,2015,7.8,33.1,79.7,17870122.0,South-America
Chile,2015,7.8,30.4,79.7,17870122.0,South-America
Iceland,2015,7.8,13.9,82.4,331068.0,Europe
Iceland,2015,7.8,13.9,82.4,331068.0,Europe
Iceland,2015,7.8,10.7,82.4,331068.0,Europe
Benin,2015,8.1,7.5,59.4,10932791.0,Africa
Benin,2015,8.1,5.2,59.4,10932791.0,Africa
Benin,2015,8.1,4.0,59.4,10932791.0,Africa
Cyprus,2015,8.1,36.3,81.0,1187286.0,Europe
Cyprus,2015,8.1,36.3,81.0,1187286.0,Europe
Cyprus,2015,8.1,29.6,81.0,1187286.0,Europe
Thailand,2015,8.2,20.9,77.7,70294408.0,Asia
Thailand,2015,8.2,20.9,77.7,70294408.0,Asia
Thailand,2015,8.2,19.7,77.7,70294408.0,Asia
